Syreeta Roberts, Magmar, camel
Miss Myrtle Walsh, Porygon, whale
Sherwood Kutch, Squirtle, ape
Clyde Torp, Koffing, kangaroo
Nelson Ledner, Pidgeot, goose
Edwin Wilkinson Jr., Machoke, horse
Darwin Watsica, Mew, porcupine
Isiah Harvey, Vaporeon, hamster
Takako Considine MD, Vulpix, cockroach
Cherri Leffler, Pidgeotto, porpoise
Dylan Ondricka, Goldeen, cat
Oleta Heller, Nidorino, trout
Gaynell Watsica, Nidorina, shark
Thalia Brakus, Machoke, hornet
Byron Casper, Wartortle, elephant
Zachery Kautzer Jr., Hitmonchan, turtle 
Mrs. Wilson Nolan, Kabutops, wolf
Cathryn Gibson, Charmander, donkey
Mahalia Abbott, Raichu, cheetah
Harry D'Amore, Golem, scorpion
Rodney Bechtelar, Nidoran, caribou
Aida Hammes, Flareon, macaw
Hans Hudson, Hitmonlee, ferret
Sammie Boyle, Venomoth, llama
Marilu Kiehn DVM, Krabby, cattle
Ronald Leannon, Ninetales, donkey
Mr. Eufemia Yost, Clefairy, goat
Alessandra Hettinger, Voltorb, gnat
Reina Mann DDS, Onix, leopard
Keiko Hagenes, Haunter, hippopotamus
Brett Lowe, Starmie, toad
Jarrett Kreiger, Clefairy, rat
Mary Torp, Ekans, sheep
Brenda Davis, Farfetch'd, donkey
Jerome Wintheiser, Venonat, prairie dog
Ms. Deirdre Ebert, Pidgey, oyster
Evon Smitham, Nidorina, walrus
Angelica Hoppe, Nidorina, wolf
Sharen Marks, Parasect, fox
Isidro Bergnaum, Sandslash, cockroach
Dallas Blanda, Jolteon, squirrel
Florine Zboncak, Slowpoke, duck
Abe Schultz MD, Butterfree, crab
Dr. Kareem Green, Omastar, porcupine
Miss Agustin Collins, Nidoran, wolf
Sammie Lebsack, Gyarados, gerbil
Perry Cassin, Magmar, koala
Arnulfo Steuber DDS, Omanyte, mammoth
Ms. Pasquale McDermott, Raichu, koala
Al Kihn, Mew, marten
