Tamra Christiansen, Omanyte, yellowjacket
Doria Schmeler Jr., Butterfree, beaver
Miss Exie Pollich, Arcanine, hyena
Ying Hoeger, Clefable, seal
Melvin Friesen, Hitmonchan, gerbil
Breann Price, Bellsprout, tortoise
Dotty Green, Metapod, hornet
Luke Bradtke, Weezing, oyster
Bernardina Strosin, Psyduck, crab
Sylvia Haag, Eevee, cat
Aurelio Funk, Primeape, camel
Danny Ryan, Clefairy, worm
Mrs. Long Stokes, Porygon, locust
Carolann Abshire, Tangela, caribou
Alexandra Crona, Arcanine, snail
Usha Cormier, Krabby, coyote
Henrietta Bergnaum, Alakazam, crocodile
Jeanice Frami, Venomoth, badger
Earle Volkman, Hypno, trout
Denisse O'Hara, Electrode, hedgehog
Dr. Lorina Schumm, Farfetch'd, mallard
Cliff Upton, Venusaur, frog
Cordie Hayes II, Drowzee, antelope
Mr. Rolando McClure, Raichu, antelope
Wilbert Schiller Jr., Flareon, lizard
Ute Aufderhar Jr., Gyarados, tiger
Stephine Larkin, Parasect, frog
Darci Mitchell, Psyduck, fly
Rashad Nader, Electrode, goldfish
Maragret Wiza PhD, Omanyte, rhinoceros
Miss Myrta Shanahan, Flareon, manatee
Gregg Ward, Shellder, turtle 
Malisa Windler, Growlithe, woodchuck
Marnie Zieme, Zapdos, leopard
Emil Reinger, Machamp, whale
Alex Becker, Kadabra, fish
Rebbecca Stracke, Goldeen, mosquito
Twanna Dooley V, Jolteon, squirrel
Mrs. Carey Heidenreich, Nidorina, woodchuck
Nieves Hegmann, Ivysaur, hare
Leigh Senger, Rhyhorn, giraffe
Kristian Balistreri, Raticate, bee
Adalberto Pollich, Kingler, manatee
Ignacio Hagenes, Jigglypuff, raven
Rosendo Lowe, Paras, seal
Prudence Douglas, Arbok, squirrel
Salina Klocko, Venusaur, swan
Mrs. Wendie Keebler, Kabutops, worm
Shirley Rice, Raticate, moose
Mr. Hyman Hansen, Kakuna, prairie dog
