Ms. Helene Wisozk, Primeape, kangaroo
Lavon Fadel Sr., Koffing, eel
Esteban Cole, Golbat, cheetah
Willene Ebert, Magmar, alligator
Percy Kuvalis, Tentacool, pig
Kelli Spencer DVM, Nidoran, guinea pig
Miss Valarie Wolff, Nidoqueen, cicada
Lacy Bergstrom, Metapod, hamster
Herb Hettinger, Ponyta, frog
Beverley Russel, Butterfree, fly
Lenny Kris Sr., Rhydon, sea lion
Kirby Nicolas, Vileplume, caribou
Mrs. Delbert Langosh, Pidgeotto, sea lion
Mrs. David Prosacco, Jigglypuff, ferret
Miss Nickolas Kutch, Raticate, oyster
Dr. Priscilla Ziemann, Raticate, alligator
Shaun Powlowski DDS, Rapidash, baboon
Albertina Cummerata, Gengar, elk
Ms. Brant Keeling, Mewtwo, ant
Toby Moen MD, Doduo, pug
Horace Koch, Kabutops, bat
Erasmo Beer, Weezing, gerbil
Tyree Lesch DVM, Pidgeot, eel
Silas Koepp, Seel, hippopotamus
Keely Powlowski, Pidgeotto, beetle
Lloyd Reichert, Exeggcute, wombat
Allegra Jakubowski, Golduck, mosquito
Jayson Herzog, Graveler, beetle
Elvis Denesik, Pinsir, beetle
Rosario Ledner MD, Vulpix, goose
Dr. Deetta Walker, Ditto, macaw
Yi Harvey, Metapod, bee
Mrs. Brian Robel, Spearow, duck
Emmett Pagac, Ponyta, pig
Jessie Nolan, Magikarp, snail
Rashad Deckow, Wartortle, panda
Mr. Jacque Hodkiewicz, Haunter, goose
Sidney Roberts, Gastly, hedgehog
Lavern Cole, Ditto, eagle
Marlys Rohan MD, Exeggutor, porpoise
Madge Kuphal II, Vulpix, llama
Nana Morar IV, Nidoqueen, lion
Russ Langworth, Lapras, panda
Mr. Rosamond Bradtke, Vileplume, cricket
Miss Dean Kuphal, Voltorb, raven
Marleen Padberg, Voltorb, ferret
Cornell Stroman, Staryu, wolf
Marisela Medhurst, Gloom, sardine
Enid Hackett, Oddish, fish
Ms. Anamaria Ratke, Magneton, porpoise
