Tyson Koepp I, Ninetales, lion
Mr. Emile Koepp, Electabuzz, hornet
Barrett Mosciski, Voltorb, squirrel
Dr. Alba Wintheiser, Porygon, yak
Nadia Berge, Mr. Mime, panda
Flossie Kohler, Vileplume, camel
Garland Hartmann, Beedrill, jellyfish
Ken Watsica, Paras, eel
Mrs. Duane Wyman, Victreebel, pig
Liana Rempel V, Horsea, dog
Ms. Marisol Murazik, Sandslash, lizard
Cleo Altenwerth, Machamp, lizard
Jule Thompson, Grimer, spider
Billy McGlynn, Lapras, dinosaur
Rogelio Kuhn, Beedrill, cockroach
Lavonne Ebert MD, Gloom, crow
Odelia Fisher, Nidoran, fly
Francesco Corkery DDS, Jolteon, elephant
Adelaide Borer, Machop, alligator
Ms. Margarita Toy, Doduo, hamster
Georgiana Lesch Sr., Parasect, sheep
Lance Bechtelar, Bellsprout, fly
Dr. Darrin Lang, Machop, mallard
Ms. Azzie Pagac, Rhydon, cicada
Leonardo Balistreri IV, Magneton, dolphin
Latanya Reichel, Kadabra, sea lion
Isidro Schamberger, Victreebel, ferret
Johnathan Homenick V, Ninetales, bear
Ferdinand Zboncak III, Kabuto, badger
Ms. Nada Towne, Spearow, bear
Nadene Hickle, Drowzee, prairie dog
Angelika Gaylord, Geodude, koala
Mrs. Karisa Pacocha, Squirtle, ape
Erich Toy, Spearow, rat
Lue Blanda, Rhyhorn, armadillo
Abdul Gleason, Magneton, koala
Mr. Louis McKenzie, Gengar, mule
Miss Meri Upton, Kabuto, elephant
Zelma Monahan, Machoke, yellowjacket
Jacinto Jones DDS, Primeape, macaw
Antonia Nolan, Spearow, pig
Quinton Bins, Sandshrew, raccoon
Sheldon Prohaska, Marowak, mammoth
Asha Hilpert, Gengar, marten
Dr. Sylvester Stracke, Goldeen, otter
Remona MacGyver PhD, Articuno, wombat
Basilia Daniel, Gyarados, badger
Kayleigh Boyer, Golduck, mole
Angelica Hills, Cubone, antelope
Pandora Feeney DVM, Articuno, panda
