Candida Lynch, Vulpix, sardine
Marty Emard, Kadabra, mink
Jerald Huel, Kakuna, mosquito
Star Torphy IV, Ekans, wasp
Eli Torp, Bellsprout, muskrat
Miss Merle Hand, Primeape, ape
Dr. Stuart Marks, Seadra, eel
Dustin Zieme, Nidoking, locust
Buford McKenzie, Alakazam, lion
Reinaldo Gerlach, Gloom, alpaca
Zachary Miller, Butterfree, panda
Dr. Rudy Wuckert, Hitmonlee, hyena
Daryl Ritchie, Venonat, alligator
Rayford Grimes, Kabuto, ox
Trevor Crist, Rhyhorn, ant
Tristan Ebert, Nidorina, rhinoceros
Serafina Watsica PhD, Krabby, toad
Taunya Wuckert, Growlithe, skunk
Coy Stiedemann, Cubone, llama
Marylee Ernser, Jolteon, koala
Wynell Murray, Parasect, snake
Roger Pagac, Raticate, oyster
Colton McLaughlin, Magikarp, mallard
Darren Schmeler, Ditto, mouse
Leatha Cummings, Gengar, hedgehog
Quintin Hand, Caterpie, coyote
Carolynn Harris, Nidorino, marten
Dane Gibson, Clefairy, seal
Shaneka Feeney, Kangaskhan, elephant
Michaela Rempel, Bulbasaur, woodchuck
Anton Hickle, Mankey, seal
Edgardo Schoen, Cubone, mammoth
Damien Ziemann, Nidoran, worm
Caleb Kuhlman DDS, Jigglypuff, yak
Carmella Marks, Geodude, duck
Mose Hettinger PhD, Clefairy, lizard
Edgar Champlin, Moltres, monkey
Jillian Schaden, Lickitung, scorpion
Mr. Rosaria Donnelly, Graveler, locust
Karrie Gottlieb, Goldeen, llama
Laurence Torp, Bellsprout, hamster
Tyler Marvin, Onix, cod
Dwight Zemlak, Zubat, louse
Ms. Orlando Reilly, Tentacool, moose
Shelby Kulas, Butterfree, fox
Jayson Trantow, Gastly, yak
Ms. Susanna Veum, Ditto, dolphin
Bradly Beer, Jigglypuff, beetle
Mrs. Ilana Kemmer, Cubone, mammoth
Rickie Halvorson, Geodude, kangaroo
