Georgetta Becker, Rhydon, ferret
Jerrell Zboncak MD, Geodude, snake
Lindsey Harvey, Nidoking, hyena
Diego Grady, Seaking, mink
Errol Jaskolski, Articuno, prairie dog
Lashonda Rodriguez, Nidoran, caribou
Dr. Elvina Reichel, Zubat, crow
Trish Hauck, Weezing, hamster
Rosana Corkery, Oddish, worm
Vivan Jast, Machop, chimpanzee
Dr. Luis Ratke, Growlithe, llama
Miss Marc Heaney, Exeggcute, walrus
Karlene Kuvalis, Clefairy, zebra
Forrest Hammes, Gengar, porcupine
Emile Tromp, Graveler, hound
Mr. Travis Kris, Nidoran, cicada
Earnest Schowalter, Omanyte, gerbil
Garret Cremin, Growlithe, scorpion
Alyce Gulgowski, Marowak, mallard
Sid Wintheiser, Aerodactyl, hedgehog
Mr. Wilfredo Tremblay, Spearow, jackal
Stephen Jacobson, Scyther, louse
Sheldon Pfeffer, Spearow, whale
Juli Marvin IV, Machamp, locust
Danny Harvey, Blastoise, swan
Hiram Marquardt, Diglett, weasel
Bertram Goldner, Wigglytuff, sardine
Jennine Hagenes, Gloom, beaver
Shane Bruen MD, Clefable, giraffe
Federico Cruickshank, Charizard, beaver
Rodrick Stamm, Kingler, grasshopper
Dr. Sage Mante, Exeggutor, fox
Hyacinth Farrell, Gyarados, grasshopper
Ariane Kunde, Weepinbell, macaw
Olin Morissette, Jigglypuff, skunk
Miss Gregg Heathcote, Poliwag, toad
Van Douglas Jr., Wigglytuff, buffalo
Rocco DuBuque, Pidgeotto, hare
Miss Anabel Johns, Arbok, woodchuck
Maryam Marks, Electrode, manatee
Delaine Sporer MD, Slowpoke, walrus
Casey Von Jr., Rhyhorn, lizard
Dr. Jeanelle Farrell, Gastly, mammoth
Aleshia Larson, Ditto, tiger
Yolando Bechtelar, Dewgong, cricket
Junko Casper, Parasect, hedgehog
Dannie Bayer, Flareon, hare
Joan Herman, Dratini, wasp
Trinidad Crona, Kabutops, porpoise
Rosina Koss DVM, Diglett, woodchuck
