Ms. Nolan Kunde, Caterpie, hamster
Lahoma Hilll, Pidgeot, alligator
Mrs. Jay Jacobson, Rhydon, lion
Nida Wehner, Nidorino, raven
Dr. Rod Anderson, Dugtrio, mammoth
Mr. Adah Reynolds, Kabuto, raccoon
Roselle Abbott, Kabuto, elephant
Isreal Jacobs II, Tentacruel, locust
Mr. Christian Lueilwitz, Venusaur, shark
Shawnda Herman MD, Squirtle, crab
Miss Stanley Connelly, Arbok, woodchuck
Truman Legros, Poliwrath, hornet
Kirk Von, Dratini, muskrat
Delmer Shanahan, Mankey, deer
Donnie Gutkowski, Ponyta, impala
Selina O'Connell, Arcanine, gerbil
Sha Hahn IV, Dugtrio, jellyfish
Eric Wilkinson, Nidoran, crab
Jarred Rutherford, Magmar, oyster
Jerry Waelchi, Golem, mink
Floyd Frami, Gyarados, lion
Junior Rogahn, Marowak, sardine
Linnea Blanda I, Pikachu, cheetah
Pinkie Roberts, Charmeleon, duck
Mr. Ali Fay, Flareon, dog
Argentina Moore, Clefable, coyote
Miss Nguyet Luettgen, Cubone, serval
Elias Walker, Snorlax, wolf
Charlie Bogisich Jr., Alakazam, cricket
Jeremy Hane, Omanyte, gorilla
Sharri Kreiger III, Cubone, herring
Dr. Whitley Schaden, Vulpix, baboon
Davida Bergnaum Sr., Snorlax, ape
Broderick Fay, Nidorina, gerbil
Andree Jerde, Staryu, mosquito
Shala Osinski, Mewtwo, chimpanzee
Miss Garfield Osinski, Dewgong, grasshopper
Theo Marks, Ivysaur, zebra
Theressa Zemlak, Seaking, hedgehog
Miquel Howe, Muk, zebra
Gordon Reinger, Articuno, trout
Adrian Kozey, Pidgeot, donkey
Trey Fisher, Abra, clam
Mr. Nelida Rodriguez, Lapras, locust
Ying Daugherty DDS, Hypno, prairie dog
Alexis Koelpin, Diglett, chinchilla
Johnson Roob V, Golem, snake
Mack Shanahan, Dodrio, raccoon
Basil Sawayn III, Onix, goose
Mr. Shalonda Swaniawski, Diglett, baboon
