Miss Jim Murray, Kadabra, donkey
Nadene Wuckert MD, Jigglypuff, cattle
Dr. Adelaide Tremblay, Marowak, marten
Marcelle Gottlieb DDS, Gyarados, trout
Jermaine Lebsack, Tauros, goldfish
Etha Thompson, Rhyhorn, badger
Ebony Christiansen IV, Nidoking, locust
Dominick Bradtke, Jynx, louse
Lana Mann, Poliwrath, weasel
Haywood Ernser, Mewtwo, gerbil
Elin Weimann III, Venonat, herring
Buster Okuneva, Gastly, porpoise
Noelia Lueilwitz, Squirtle, wombat
Karine Stehr, Pidgeotto, eel
Tiffani Reichert, Nidoking, goldfish
Mrs. Deloras Harris, Chansey, squirrel
Irma Jacobson, Venusaur, hippopotamus
Branden Hammes Jr., Dugtrio, spider
Shawn Hahn, Rapidash, weasel
Marsha Lowe, Charmander, mosquito
Gregg Gleason, Arbok, minnow
Gabriel Reilly II, Slowpoke, mole
Augustine Johnson, Oddish, bat
Mimi Vandervort, Rhydon, goat
Caterina Schoen, Dratini, hornet
Lewis Gutmann, Magnemite, eel
Miss Logan Davis, Sandslash, dolphin
Belen Ebert MD, Graveler, mule
Todd Zieme, Mankey, beaver
Alden Kilback III, Rhydon, hound
Barrett Schoen Sr., Ivysaur, otter
Ms. Mitchell Smitham, Tangela, armadillo
Mrs. Kristine Thiel, Slowbro, termite
Earlie Zemlak, Golem, frog
Amelia Doyle, Nidoran, marten
Jada Ritchie, Kingler, bat
Etsuko Mayert, Kabutops, antelope
Donovan Hilll I, Ponyta, fox
Perry Simonis, Venonat, skunk
Leah Lakin, Zubat, squirrel
Levi Corwin, Ivysaur, dog
Kermit Doyle II, Sandslash, buffalo
Dann Cassin, Omastar, rat
Yajaira Champlin, Ivysaur, turtle 
Ulrike Legros, Gloom, platypus
Suzanna Turner, Electabuzz, wallaby
Mr. Elmo Breitenberg, Voltorb, macaw
Verlene Weissnat, Pidgeotto, beaver
Raul Hoeger, Dratini, armadillo
Garrett White, Gloom, hornet
