Miss Chadwick Schneider, Arcanine, badger
Elinore Feest, Gloom, wasp
Harry Lowe V, Grimer, pug
Jeramy Funk MD, Dewgong, duck
Miss Buddy Kreiger, Growlithe, raccoon
Lorriane Predovic, Haunter, ape
Adriene Walter III, Nidoking, hornet
Mrs. Billy Mitchell, Marowak, ape
Donnie Goldner MD, Nidoqueen, badger
Mrs. Aida Padberg, Magneton, cricket
Ela Cormier, Butterfree, fish
Mrs. Kris Zulauf, Venomoth, snail
Melonie Ebert, Dratini, eagle
Preston Bogan, Tauros, porpoise
Edra Ritchie I, Caterpie, guinea pig
Elena Cassin, Slowpoke, crocodile
Altha Schaefer, Seel, bee
Irmgard Bosco II, Drowzee, skunk
Curtis Rowe, Starmie, mink
Karin Abernathy, Weedle, moose
Mr. Shay Bartoletti, Ekans, yak
Ileen Kilback, Hypno, wombat
Hassan McKenzie, Arcanine, gnat
Maxie Bernier, Staryu, alligator
Angelena Weissnat, Psyduck, leopard
Clara Hauck, Grimer, sheep
Yuko Towne, Venomoth, fox
Harris Tremblay, Dodrio, yellowjacket
Miss Theo Mohr, Voltorb, goat
Rolando Dooley, Jolteon, alpaca
Miss Mario Douglas, Caterpie, squirrel
Cheryl Collier, Sandslash, giraffe
Frieda MacGyver, Weedle, worm
Mario Howell, Psyduck, hornet
Judith Stanton, Slowbro, donkey
Nga Lubowitz DDS, Oddish, alpaca
Euna Schumm, Tauros, spider
Altha Heathcote, Krabby, eagle
Lindsay Hoeger DVM, Slowbro, crab
Murray Trantow, Omastar, ape
Sondra Harris IV, Clefable, crocodile
Frances Parisian, Wigglytuff, yak
Jeanene O'Connell V, Flareon, bee
Eartha Turcotte, Meowth, hedgehog
Candyce Harvey, Sandshrew, ant
Jarod Moore, Ditto, eel
Van Franecki, Machamp, mule
Thad Witting, Gastly, porcupine
Miss Sharda Schumm, Fearow, ferret
Corinne Sawayn, Nidoqueen, mosquito
