Joan Treutel, Rattata, hound
Hollis Schimmel, Magnemite, cricket
Mrs. Bernardina McCullough, Grimer, lion
Hal Wolff, Nidoking, mouse
Dr. Milo Swaniawski, Kadabra, eagle
Naomi Kuhic, Dragonite, turtle 
Evon Jakubowski, Nidoqueen, manatee
Irma Fisher, Raticate, goose
Wilburn Hirthe, Beedrill, ape
Cristen Lueilwitz, Farfetch'd, impala
Armand Price, Dragonair, serval
Gerardo Dickinson, Gastly, horse
Mr. Eugenio Kling, Venomoth, porpoise
Demetrice Harber, Gastly, guinea pig
Mr. Sandie Ward, Nidoran, alligator
Mr. Alberto Haag, Graveler, zebra
Levi Romaguera, Jolteon, grasshopper
Sherman Swaniawski Sr., Abra, leopard
Nakita Berge V, Pidgeotto, whale
Wilson O'Keefe, Persian, leopard
Matt Towne, Blastoise, crow
Raymon Yundt, Jolteon, mink
Franklin Harber, Oddish, caribou
Christena Conroy, Exeggcute, alpaca
Jay Bins, Persian, louse
Columbus Beer, Weedle, gorilla
Quentin Rippin, Nidoran, mole
Babette Johnson, Charizard, moose
Miss Lebsack III, Mew, wallaby
Stevie Fahey, Pidgeotto, skunk
Cecil Vandervort, Voltorb, shark
Mr. Les Bernhard, Pidgeot, coyote
Billie Hahn, Seaking, gorilla
Gwenda Gorczany, Golbat, mink
Renaldo Schimmel, Pikachu, dolphin
Mrs. Estrella Satterfield, Hitmonlee, cattle
Mrs. Tien Nikolaus, Mew, salmon
Florence Auer, Shellder, raven
Mr. Raleigh Schaden, Dewgong, butterfly
Ida Kautzer, Primeape, oyster
Pansy Rutherford, Nidoran, shark
Adrian Murazik V, Kabutops, salmon
Dorsey McGlynn, Dratini, locust
Dave Dibbert III, Golbat, raven
Gino Schaden II, Golduck, pig
Alejandra Oberbrunner, Exeggcute, whale
Willy Dooley, Arcanine, porcupine
Janene Torp, Pinsir, weasel
Byron Auer, Onix, coyote
Ms. Lino Kuhlman, Nidoran, jackal
