Lina Davis, Dragonair, mallard
Douglass Marquardt, Staryu, wildebeest
Quintin Roob, Ivysaur, butterfly
Lester Schaefer, Hitmonlee, water buffalo
Mrs. Cameron Hahn, Dugtrio, gnu
Gilbert Thompson, Gyarados, deer
Mr. Jonathon Dooley, Venomoth, goat
Salvador Botsford, Nidorina, scorpion
Gerda O'Keefe, Hitmonlee, hippopotamus
Dorothy Witting, Chansey, llama
Luisa Rau, Zubat, cicada
Dr. Chandra Collins, Staryu, moose
Madalyn Hyatt, Nidorino, ant
Oscar Crist, Tangela, muskrat
Tegan Breitenberg MD, Omastar, oyster
Richie Rodriguez, Raichu, lion
Daron Beahan, Clefable, deer
Ricarda Mills, Meowth, zebra
Anton Nienow III, Rhyhorn, chinchilla
Margit Lesch, Dragonite, porcupine
Miss Karolyn Paucek, Cubone, trout
Hallie Prohaska, Nidoking, ant
Holley Bernhard, Porygon, herring
Boyd Ziemann DDS, Butterfree, horse
Fransisca Runolfsson, Bulbasaur, herring
Paola Pouros, Golbat, guinea pig
Nickole Lesch, Blastoise, frog
Janell Cole, Pidgeot, snail
Eli Pacocha DVM, Eevee, impala
Maurice Kassulke, Rhydon, manatee
Lanny Dicki, Clefairy, swan
Ria Champlin, Onix, yellowjacket
Marlo Harvey, Articuno, swan
Henry Kassulke, Nidorina, goldfish
Treva Harris, Doduo, zebra
Wynell Heidenreich PhD, Seel, rabbit
Dalia Ryan, Pinsir, deer
Alisa Mueller Sr., Wartortle, turtle 
Victor Windler, Abra, yak
Janis Buckridge, Weedle, shark
Ms. Linn Lakin, Machamp, shark
Lindsay Hermann, Horsea, ferret
Flossie Hilpert, Doduo, snail
Kasie Anderson, Pikachu, tiger
Mrs. Mitsuko Pfeffer, Slowbro, wildebeest
Velda Heidenreich DDS, Ninetales, sardine
Mr. Nedra O'Connell, Dragonair, bee
Effie Deckow MD, Venusaur, cricket
Leonardo Grady, Voltorb, panda
Terra Harris, Shellder, cod
