Lynelle Kessler, Dewgong, caribou
Beverlee Schowalter, Porygon, dog
Stanton Barrows, Omastar, dog
Dallas Morissette, Psyduck, eel
Bryce Kiehn, Hitmonchan, locust
Zaida Witting, Graveler, eel
Mrs. Jessica Klocko, Nidoran, baboon
Arlen Mann, Venonat, snake
Leandro Moore I, Psyduck, coyote
Mitchell Kilback, Pidgey, rat
Malena Littel, Dragonite, fox
Zachery Little, Dragonite, alligator
Paola Ondricka, Lickitung, ape
Daniel Satterfield, Charmander, yellowjacket
Violette Wilderman, Tentacruel, hippopotamus
Joseph Kub, Jynx, hare
Huey Balistreri, Grimer, swan
Rudolph Jacobs, Tangela, tortoise
Marry Schamberger, Abra, dog
Darrell Price, Flareon, gnat
Kennith O'Conner, Kadabra, leopard
Frances Runte, Dodrio, otter
Theresia Spinka, Ninetales, serval
Mee Kutch, Articuno, walrus
Toby D'Amore, Hitmonchan, ferret
Marilyn Dicki IV, Sandslash, muskrat
Gretta Hermann, Tentacool, swan
Emilee Stokes Jr., Machamp, hyena
Curtis Herzog, Mewtwo, cat
Creola Beahan, Weedle, dinosaur
Micheal Fisher, Ninetales, llama
Luana Heaney, Venusaur, manatee
Burl Wunsch, Wartortle, fox
Nicolas Osinski, Haunter, guinea pig
Kermit Deckow, Vulpix, pug
Cherie VonRueden, Lickitung, zebra
Laraine Green, Oddish, hornet
Sondra Hahn, Vileplume, butterfly
Miss Cedric Crooks, Slowpoke, mouse
Miss Granville Robel, Raticate, donkey
Miles Kautzer, Articuno, hamster
Darryl Zboncak, Rattata, hippopotamus
Dr. Emma Nienow, Dewgong, alpaca
Yong Stracke Jr., Snorlax, water buffalo
Cordelia Roob, Spearow, rat
Estefana Swaniawski, Omastar, manatee
Sid Littel, Pinsir, wombat
Allen Toy V, Omanyte, prairie dog
Ernestine Rempel DVM, Goldeen, hippopotamus
Trenton Satterfield, Zapdos, hedgehog
