Jasper Aufderhar, Omastar, prairie dog
Graig Jacobs, Muk, wallaby
Gayle Christiansen, Wigglytuff, crab
Akilah Douglas I, Raichu, ferret
Jackqueline West, Arcanine, coyote
Sylvester Beahan, Staryu, jackal
Bianca Haley, Kakuna, wolf
Mrs. Rebecka Connelly, Zubat, antelope
Billie Kulas, Seaking, porpoise
Mrs. Liberty Fahey, Spearow, muskrat
Miss Shantel Tillman, Oddish, walrus
Miss Josephina Cormier, Hypno, herring
Delia Botsford, Persian, mouse
Hiedi Terry, Pikachu, donkey
Felicitas Harris DVM, Poliwrath, moose
Tanna Lebsack, Gastly, macaw
Garry Spinka, Pikachu, prairie dog
Dr. Malena Bartoletti, Moltres, bee
Maxwell O'Reilly, Rhyhorn, koala
Mr. Logan Considine, Wigglytuff, gorilla
Hunter Schulist, Hitmonchan, gnu
Phylicia Boyle, Mr. Mime, badger
Lyda Bechtelar, Cubone, termite
Prince Jacobi, Poliwhirl, antelope
Garry Reilly, Machoke, bat
Oleta O'Reilly, Clefairy, spider
Maximo Moore MD, Psyduck, mink
Ellsworth Stark, Pidgey, crow
Hiram Cartwright, Rhyhorn, eagle
Hortencia Berge IV, Nidoking, crab
Kirstie Harvey Jr., Raticate, cricket
Salome Simonis I, Vulpix, rhinoceros
Anita Lubowitz, Dratini, leopard
Ruben Dooley, Exeggcute, hedgehog
Doris Kris, Moltres, mole
Lashawnda Brown PhD, Lapras, mink
Carroll Schultz IV, Drowzee, chimpanzee
Bev Abshire, Seaking, otter
Gordon Labadie III, Tentacool, elephant
Tanisha Walter, Omanyte, rabbit
Kim Mraz, Kabuto, elk
Emile Moen MD, Mankey, duck
Tyler Heaney, Ninetales, raven
Odell Kub, Chansey, jackal
Tuan Williamson, Persian, porcupine
Nguyet Aufderhar, Ponyta, caribou
Keith Metz, Voltorb, marten
Kassandra Mueller, Geodude, horse
Geri Abshire, Seaking, platypus
Ahmed Funk, Mewtwo, hornet
