Chad Kuhic, Primeape, dinosaur
Miss Rosario Collier, Ponyta, yellowjacket
Galen Jaskolski, Eevee, fly
Louis Walker, Venomoth, rabbit
Edwin Hackett, Butterfree, turtle 
Miss Rob Nolan, Rhydon, sea lion
Santiago Konopelski, Cubone, wasp
Kenton Schimmel, Arcanine, snail
Mrs. Bibi Ritchie, Zapdos, crow
Rosalie Hickle, Mr. Mime, hare
Rima Hintz, Gloom, duck
Althea Buckridge PhD, Voltorb, worm
Elizabet Johns I, Jynx, panda
Dorsey Herman, Marowak, elk
Elouise Smith, Abra, swan
Paz Altenwerth, Weezing, hamster
Concetta Moen, Rhyhorn, yellowjacket
Freeman Abbott, Aerodactyl, cicada
Dalton White III, Zapdos, donkey
Jeneva Rau, Bulbasaur, wolf
Marshall Schroeder MD, Weezing, lion
Damion Green Sr., Clefairy, sardine
Don Lowe, Omastar, cat
Clinton Bogan III, Scyther, otter
Alyse Schmidt DVM, Poliwrath, kangaroo
Reuben Johns, Tentacool, wombat
Jesse Raynor, Cubone, zebra
Jerald Bogisich Jr., Meowth, coyote
Margery Goyette, Omastar, scorpion
Marisa Moore, Ekans, hippopotamus
Gerald Toy, Venomoth, elephant
Ty Kutch, Venusaur, sheep
Jonell Gislason MD, Beedrill, cat
Jon Ernser, Weepinbell, walrus
Brook Hand, Poliwrath, porcupine
Dr. Fredericka Will, Shellder, sea lion
Joslyn Monahan, Kadabra, squirrel
Alisha Satterfield III, Bellsprout, cattle
Collin Hodkiewicz, Arcanine, herring
Dr. Felton Roob, Golem, duck
Miss Arthur Leffler, Tangela, gorilla
Raymond Schimmel, Golem, bear
Clair Swift, Kabuto, frog
Mr. Kara Bahringer, Porygon, termite
Dr. Leigh Olson, Pidgeotto, jackal
Von Gislason PhD, Nidoran, caribou
Mr. Darrel Bradtke, Dewgong, crab
Lizzie Wisozk, Victreebel, whale
Augustus Effertz, Clefable, swan
Young Dicki II, Golem, gnu
