Nathanael Jast, Staryu, fish
Nikole Waters, Machoke, serval
Miss Hai Bauch, Wigglytuff, koala
Madalene Tremblay, Machop, impala
Theodore Wilkinson, Slowpoke, serval
Iona Schmidt, Venusaur, ape
Elwanda Greenholt, Staryu, monkey
Garry Hoeger, Ekans, impala
Mr. Hilma Dicki, Graveler, yak
Lorriane Huels, Arbok, prairie dog
Marylyn Spencer, Horsea, rat
Randi Wunsch IV, Machoke, bat
Kelvin Jacobi V, Raticate, elephant
Miss Lashon Greenfelder, Cloyster, cat
Muoi Rice, Ekans, goldfish
Teisha Roob, Rapidash, antelope
Gale O'Conner, Bellsprout, shark
Fawn Gaylord I, Gengar, oyster
Lezlie Conn, Magmar, leopard
Dr. Melvin Cummerata, Dragonair, armadillo
Arcelia Welch, Exeggutor, herring
Michael Schmitt I, Eevee, rat
Damaris Swaniawski, Machop, bat
Lee Yundt, Ivysaur, hornet
Mrs. Astrid Ullrich, Charmeleon, fox
Carlena Wilderman DVM, Magneton, goldfish
Beatris Wilkinson, Kingler, rhinoceros
Scot Hamill, Marowak, hedgehog
Mason Halvorson, Paras, camel
Winston Mann, Hitmonchan, cicada
Clare Champlin, Nidoran, mammoth
Vicente Herman, Vileplume, squirrel
Billie Ortiz, Ivysaur, crab
Patrica Gutkowski, Arbok, swan
Sheldon Considine, Krabby, gorilla
Jessie Kuvalis, Geodude, mule
Miss Roseline Sipes, Hypno, cod
Allan Huel, Oddish, cockroach
Malcolm Bernhard, Tentacruel, goose
Sylvester Hoeger IV, Alakazam, snake
Cristin Schuster, Poliwhirl, rat
Wesley Tillman V, Magneton, chinchilla
Mac Auer, Aerodactyl, water buffalo
Luke Trantow, Charizard, lizard
Jamie Upton, Nidoran, buffalo
Emerson Bahringer, Blastoise, rat
Warner Romaguera, Pikachu, jellyfish
Ilda Bogisich IV, Exeggcute, bat
Johnny Roberts, Vulpix, grasshopper
Roxanna Gutkowski, Exeggutor, crow
