Zachery Runte, Hitmonlee, crab
Josiah Toy Sr., Parasect, ox
Frank Grimes, Caterpie, herring
Parthenia Grant, Slowpoke, kangaroo
Shanice Haag Jr., Goldeen, locust
Miss Rueben Jenkins, Ninetales, lizard
Maribel Hahn, Hypno, louse
Tuan Nader, Ponyta, raccoon
Cammie Brekke, Rhyhorn, caribou
Joel Huel, Jigglypuff, hamster
Domenic Ward DVM, Rhydon, llama
Kelley Nikolaus, Kadabra, salmon
Stephany Tromp, Moltres, armadillo
Nada Rolfson, Kabutops, hamster
Winfred Bartoletti, Dugtrio, bear
Harley Deckow, Machoke, salmon
Dr. Sanjuanita Connelly, Ivysaur, mole
Angelo Wyman, Pinsir, serval
Franklin Reichert, Horsea, platypus
Edward Macejkovic, Ninetales, duck
Akilah Brekke, Arcanine, guinea pig
Freddie Bechtelar, Shellder, gnu
Ms. Lovie McLaughlin, Ivysaur, dinosaur
Darin Gerhold Sr., Jolteon, koala
Blythe Maggio PhD, Magneton, cicada
Clifford Buckridge II, Lickitung, jellyfish
Doria Cummerata, Lickitung, snake
Taren Conn I, Weezing, antelope
Ardell Senger, Electrode, mammoth
Isis Heller, Grimer, mink
Jonie Goyette PhD, Vulpix, mammoth
Dean Bogisich V, Articuno, cat
Nicky Torp I, Spearow, skunk
Mr. Winston Parisian, Machamp, ferret
Nydia Schamberger DVM, Scyther, cicada
Merrill Hane, Seadra, jellyfish
Erlinda Murphy, Arcanine, ferret
Allan Olson, Slowbro, cod
Dr. Many Feeney, Tentacool, cheetah
Alexander Koss, Pikachu, weasel
Miss Darnell Hackett, Squirtle, beetle
Mrs. Jarvis Ward, Gloom, jackal
Edwina Legros, Arbok, sea lion
Phillip Jacobi, Pidgeotto, cricket
Phil Mayert, Meowth, hound
Mr. Hayley Dooley, Koffing, moose
Refugia Heller, Venusaur, moose
John Feeney, Venusaur, sea lion
Ms. Rosalia Grant, Kangaskhan, ox
Augustus Schamberger, Magikarp, macaw
