Jonathon Bernhard Jr., Electabuzz, alpaca
Jaclyn McLaughlin, Primeape, ferret
Nicky Welch, Kakuna, manatee
Delmer Hodkiewicz, Wigglytuff, fish
Leisa Beatty PhD, Aerodactyl, dolphin
Colton Nicolas V, Nidoran, hippopotamus
Freddie Spencer, Arcanine, mosquito
Kennith Dooley, Primeape, crocodile
Raphael Rohan, Ekans, dog
Stevie Hodkiewicz, Sandslash, clam
Martin D'Amore, Raichu, donkey
Bennie Botsford, Vaporeon, elk
Anisa Christiansen, Lickitung, baboon
Jay Wisoky, Hitmonchan, goose
Noel Satterfield PhD, Sandslash, louse
Dorothea Corwin, Mew, fox
Ms. Jame Murray, Nidorina, locust
Christin Hilll PhD, Geodude, yellowjacket
Lamar Blick, Mr. Mime, gnu
Mrs. Chantell Ruecker, Sandslash, cricket
German Ward, Ditto, platypus
Mr. Monique Padberg, Magikarp, cicada
Ms. Apolonia Casper, Caterpie, moose
Olin Conroy, Dugtrio, cat
Mrs. Carmen Rath, Lapras, alpaca
Noemi Wuckert II, Eevee, wasp
Agatha Herman I, Ponyta, mink
Galina Haag, Fearow, coyote
Bennett Bayer, Nidorina, eel
Eliseo Stamm, Poliwrath, alpaca
Maisie Leannon, Goldeen, fish
Hal Dare, Mankey, serval
Royce Raynor, Weedle, badger
Ms. Buffy Medhurst, Weezing, seal
Loree Braun, Sandshrew, cod
Natosha Murphy, Tentacool, elephant
Dee Bayer DDS, Magnemite, turtle 
Josef Satterfield, Vileplume, jellyfish
Lyndon Russel Jr., Ponyta, eel
Olene Weissnat, Starmie, hippopotamus
Claude DuBuque, Ponyta, panda
Porsha Stehr, Beedrill, ox
Carmen Howe, Nidoking, jackal
Bryan Stokes, Grimer, toad
Mr. Vito Smith, Gastly, lion
Dr. Adele Wisozk, Golduck, mammoth
Geri Hauck, Victreebel, crocodile
Riley McKenzie, Victreebel, fox
Vella Schmitt, Pinsir, leopard
Mrs. Nikole Kautzer, Cloyster, crow
