Roberta Brown, Zubat, alpaca
Barton Stoltenberg, Kingler, deer
Hank Hoeger, Victreebel, frog
Laurette Rath, Magnemite, moose
Trang Kihn, Beedrill, elk
Mr. Bernardina Steuber, Golduck, goose
Mr. Vito Collier, Chansey, badger
Jamal Brakus, Charmander, caribou
Virgil Medhurst II, Koffing, tiger
Benito Ruecker, Vulpix, louse
Cristin Pouros, Staryu, moose
Anthony Kerluke PhD, Clefable, llama
Catharine Baumbach PhD, Diglett, wombat
Jesse Effertz, Goldeen, frog
Karie West, Voltorb, wolf
Elias Walsh DDS, Nidorina, gorilla
Elicia Lubowitz, Dodrio, giraffe
Miss Arturo Daugherty, Geodude, jackal
Damian Cummerata, Staryu, koala
Gerardo Bergnaum PhD, Sandshrew, antelope
Kimberley Satterfield, Ivysaur, leopard
Lewis Runolfsson, Gengar, water buffalo
Teodora VonRueden, Pikachu, pug
Denny Collins, Lapras, wasp
Miss Rodrick Swaniawski, Golbat, tiger
Alfredo Jenkins, Mew, badger
Rubin Bernier, Dragonite, snail
Kelly Jaskolski, Ekans, gnat
Mr. Faustino Jaskolski, Grimer, mole
Miss Solomon Rohan, Gloom, macaw
Leroy Konopelski, Dodrio, mouse
Melida Bradtke, Lapras, shark
Jack Lowe, Vaporeon, jellyfish
Clinton Barton, Lickitung, otter
Ms. Rae Satterfield, Ekans, camel
Krishna Bednar, Gloom, mule
Miss Dante Reichel, Graveler, badger
Norman Wilderman PhD, Raticate, mosquito
Damian Mayert IV, Charmeleon, gerbil
Devon Nikolaus, Ditto, hedgehog
Buster Torphy, Porygon, koala
Annabell Parisian, Beedrill, armadillo
Lisabeth Rice Sr., Horsea, sheep
Irving Murphy, Kabutops, grasshopper
Milton VonRueden, Weepinbell, buffalo
Austin Baumbach, Ekans, lizard
Veda Prosacco II, Dodrio, worm
Paris Erdman, Nidoqueen, manatee
Katina Grimes, Raichu, woodchuck
Palmira Raynor I, Drowzee, wombat
