Genevieve Spinka, Jolteon, frog
Ms. Katelynn Corkery, Clefairy, spider
Domingo Parisian, Tangela, wildebeest
Sam Schumm, Electabuzz, swan
Hanh D'Amore, Goldeen, raccoon
Bradley Lockman I, Abra, whale
Chasity O'Connell DVM, Rattata, baboon
Kira Franecki, Rapidash, buffalo
Mrs. Jeffry Russel, Lapras, camel
Jesusa Pagac, Pinsir, beaver
Zachariah Murphy, Haunter, gnat
Iris Waelchi, Pidgeot, moose
Maisha Wuckert, Primeape, buffalo
Shad Rogahn, Omanyte, walrus
Miss Sina Schaefer, Nidoran, eagle
Kathey Dooley DDS, Scyther, wolf
Willy Windler DVM, Lickitung, walrus
Theo Kirlin, Sandshrew, rat
Mr. Amber Nitzsche, Horsea, wombat
Lenard Waelchi, Geodude, badger
Iona Cronin, Nidoran, moose
Tanna Hudson, Jolteon, donkey
Dr. Patria Hills, Machop, donkey
Rosaura Schuppe, Tangela, bear
Darby Hahn, Bellsprout, herring
Lonny Morissette, Caterpie, armadillo
Neil Abshire MD, Squirtle, goat
Miss Kennith Yundt, Cloyster, ox
Jack Gerhold, Jynx, reindeer
Oswaldo Hessel, Eevee, elk
Melony Jacobs V, Staryu, llama
Basil Gerlach, Growlithe, gnat
Coleman Sipes, Gastly, mink
Sanford Brown, Spearow, ant
Bobbie Crooks PhD, Starmie, turtle 
Nicole Hamill, Fearow, cattle
Sharon Bode, Dugtrio, buffalo
Kyle Simonis, Drowzee, antelope
Kathy Hayes, Electabuzz, zebra
Jessi Effertz III, Golduck, panda
Nora Gusikowski, Graveler, fox
Teodora Towne, Raticate, grasshopper
Jame Moen, Marowak, skunk
Julee Smitham, Dratini, mallard
Houston Douglas, Mankey, antelope
Kellie Kuvalis Sr., Mewtwo, clam
Lois Mohr, Ditto, rhinoceros
Ms. Porter Boyle, Slowbro, badger
Leeanne Friesen, Electabuzz, cockroach
Russ Daugherty Sr., Vileplume, goat
