Zenaida Blick, Snorlax, eel
Adena Grady PhD, Machop, bee
Mrs. Alexander Bosco, Articuno, ape
Shawnta VonRueden, Gengar, manatee
Mrs. Aliza Hermann, Kabuto, mole
Maxwell Botsford, Moltres, hare
Ms. Abraham Jaskolski, Gloom, hound
Troy Wolf, Persian, deer
Rey Blick, Charmeleon, fox
Inell Hills, Seel, oyster
Linwood Ernser, Voltorb, locust
Antoine Littel, Golbat, shark
Darnell Ratke, Shellder, tortoise
Chloe Rosenbaum, Voltorb, sheep
Ali Russel, Golduck, bee
Albertina Hansen PhD, Nidoran, yellowjacket
Lynette Quitzon IV, Weepinbell, gorilla
Ming Carroll MD, Flareon, dinosaur
Vernetta Larson, Kadabra, cod
Ms. Jefferey Wisozk, Alakazam, water buffalo
Jettie Bechtelar, Butterfree, bear
Chelsey Predovic, Vulpix, moose
Josefine Littel, Krabby, chimpanzee
Alesia Smith, Pidgey, termite
Dominique Mueller, Kingler, hamster
Seth Terry, Muk, badger
Mr. Patricia Klocko, Wigglytuff, ferret
Antone Jacobson, Arcanine, jackal
See Blanda DDS, Caterpie, crocodile
Vance Johnson DVM, Fearow, muskrat
Gaylord Dach, Doduo, porcupine
Salvatore Medhurst, Mew, wasp
Clement Wolff, Geodude, squirrel
Nelly Frami, Nidorina, monkey
Joaquin Hansen, Kangaskhan, wombat
Edmond Bergstrom, Vileplume, caribou
Tisa Deckow, Mew, beetle
Chet Erdman, Gloom, baboon
David Hessel I, Parasect, bee
Ida Glover, Eevee, hedgehog
Miss Stephaine Fay, Pikachu, scorpion
Kirstin Murray PhD, Abra, cattle
Cori Klocko, Electabuzz, duck
Hwa Schoen, Staryu, muskrat
Renay Mann, Squirtle, clam
Napoleon Kub, Venonat, lion
Berenice Weber, Pidgeotto, herring
Karen Upton, Vulpix, bee
Lean Bednar, Machop, deer
Jefferey Legros, Staryu, butterfly
