Mozelle Hermann, Jolteon, hyena
Janeen White, Venusaur, buffalo
Ramiro Altenwerth IV, Pidgeotto, badger
Hank Runolfsson, Nidoran, skunk
Miss Joline Champlin, Venusaur, otter
Ms. Renita Volkman, Slowpoke, rhinoceros
Miss Kristopher Pouros, Venonat, weasel
Aimee Grady, Nidoqueen, sheep
Miss Antwan Adams, Nidorina, grasshopper
Stewart Lesch, Koffing, weasel
Jacki Stanton, Articuno, wombat
Rogelio VonRueden Sr., Slowpoke, ant
Anisha Roob PhD, Nidorino, muskrat
Milton Sawayn, Lapras, goat
Gudrun McDermott DVM, Cubone, frog
Dr. Glen O'Kon, Golem, hare
Shannon Barrows, Exeggutor, moose
Karolyn Nikolaus, Machamp, lion
Alessandra MacGyver, Vaporeon, beaver
Brittny Bayer, Beedrill, bee
Cleveland Johnson, Zapdos, cockroach
Malcolm Hills, Kangaskhan, armadillo
Benton Beatty, Kingler, salmon
Isabella Stamm Sr., Ditto, clam
Colette Wilkinson, Electabuzz, goose
Angelena Purdy, Seel, rhinoceros
Vance Beatty, Nidoran, raven
Abram Jacobson, Lickitung, muskrat
Noah O'Hara, Persian, hound
Tyron Halvorson, Mr. Mime, mallard
Darius Hegmann, Venonat, bat
Ken Russel, Kadabra, monkey
Lorina Swaniawski, Wartortle, cattle
Rayford Raynor, Dratini, guinea pig
Annetta Okuneva Sr., Gastly, elephant
Jama VonRueden, Lapras, swan
Josiah Thiel, Clefairy, swan
Lecia Bayer, Aerodactyl, ox
Corey Torp IV, Fearow, alligator
Alycia Ryan, Nidorino, chinchilla
Josette Harber, Venusaur, shark
Gino Kulas, Mew, kangaroo
Bert Nikolaus, Drowzee, coyote
Sophie Simonis, Golem, elk
Lorena Nolan, Poliwhirl, cricket
Franchesca Abernathy, Nidoran, porcupine
Kirby Dare I, Shellder, mouse
Kalyn D'Amore, Magnemite, serval
Miss Sylvia Fisher, Tangela, mouse
Exie Fritsch II, Hypno, hound
