Reuben Hammes, Diglett, beetle
Seth Erdman, Beedrill, tiger
Mrs. Lora Tromp, Vulpix, gerbil
Mr. Peter O'Reilly, Meowth, mouse
Vernia Leannon, Gastly, zebra
Carter Rosenbaum, Kakuna, water buffalo
Moises Prosacco, Tauros, weasel
Guadalupe Mayer, Magnemite, rhinoceros
Herlinda O'Hara IV, Flareon, mallard
Seth Runolfsson, Venusaur, skunk
Curt Schulist, Vileplume, platypus
Alejandra Waters, Vileplume, louse
Susanna Langosh PhD, Slowbro, frog
Kassie Walter Jr., Kakuna, jackal
Neil Cummings, Pidgey, hare
Arie Lakin, Tentacruel, bee
Charmaine Oberbrunner, Primeape, salmon
Hollis Kling, Gyarados, raven
Marivel Schmeler PhD, Tauros, weasel
Josh Dooley II, Articuno, lion
Dr. Monique Metz, Golbat, gerbil
Sonny Rosenbaum III, Meowth, mouse
Jeffery Yost, Rattata, cattle
Mrs. Dario Keebler, Raticate, worm
Sadie Koelpin, Victreebel, elk
Manual Senger, Jigglypuff, gnat
Reed Kub II, Gyarados, wildebeest
Elsa Harvey V, Tentacool, snake
Monty Hane, Marowak, duck
Miss Eleonor Braun, Kakuna, hare
Loida Langworth III, Golbat, cat
Everette Trantow, Kingler, buffalo
Rosamond Bayer PhD, Porygon, manatee
Venetta Feest II, Venomoth, salmon
Gayla Larson, Abra, pug
Lillie Haag, Exeggcute, eel
Shizuko Prohaska II, Poliwag, mosquito
Francisco Erdman Sr., Gyarados, moose
Dr. Brendon Hermann, Sandshrew, bee
Lorena Hegmann, Dugtrio, duck
Palmer Ratke, Raticate, alpaca
Ms. Robbie Kuphal, Electrode, porcupine
Leon Weissnat, Poliwrath, porcupine
Dora Rau, Vulpix, alpaca
Wyatt Wunsch, Tentacruel, squirrel
Ms. Russell Watsica, Snorlax, eel
Lidia Hodkiewicz, Kakuna, cicada
Galen Erdman Jr., Charmeleon, lizard
Cristopher Kihn DDS, Kingler, mouse
Ezequiel Stehr, Golbat, chimpanzee
