Darrick Buckridge DDS, Hitmonchan, shark
Palmer Herzog, Meowth, alligator
Reginald Mosciski, Magnemite, tortoise
Numbers Kreiger, Fearow, monkey
Patsy Heller, Ponyta, jellyfish
Walter Bernier, Poliwag, scorpion
Bao Stark, Venonat, wasp
Floyd Pfeffer, Zapdos, cicada
Kecia Gutkowski Jr., Spearow, chinchilla
Teodoro Mann, Bellsprout, platypus
Alycia Swaniawski, Wartortle, minnow
Miss Marielle Reinger, Jolteon, spider
Melaine Hand I, Chansey, bear
Verdell Pollich, Poliwag, bear
Basil Homenick, Hitmonchan, coyote
Rosena Cassin, Diglett, termite
Dr. Cassie Lang, Victreebel, pug
Darrell Walker IV, Lickitung, eagle
Lilla Abshire, Flareon, yak
Miss Lynwood Swift, Dewgong, spider
Shanelle Swift, Farfetch'd, chinchilla
Lavelle Parker, Porygon, koala
Libby Zboncak, Gastly, duck
Ms. Elwanda Herman, Dodrio, armadillo
Devin Murazik, Kingler, crow
Elinor Klein, Scyther, wasp
Roselee Zulauf, Farfetch'd, chimpanzee
Jacquetta Purdy, Bulbasaur, eel
Ira Boyer, Chansey, giraffe
Mrs. Corinne Huel, Muk, clam
Lakisha Gutkowski, Golbat, wombat
Wilber Huel, Weepinbell, beaver
Earlie Bergstrom, Sandslash, minnow
Aubrey Quitzon, Staryu, eagle
Oswaldo Pouros, Victreebel, rabbit
Gaynelle Wehner, Machop, caribou
Donnetta Runte, Geodude, clam
Libbie Kertzmann, Growlithe, coyote
Branden Jakubowski III, Electrode, wolf
Arlie Nicolas, Dodrio, oyster
Clyde Rowe, Dodrio, beetle
Joslyn Nolan, Pidgeot, goldfish
Lashanda Volkman, Metapod, dolphin
Mr. Debora Gutkowski, Graveler, yellowjacket
Mrs. Tran Ziemann, Dugtrio, toad
Jesus Mraz, Exeggcute, muskrat
Britt Feest, Eevee, lizard
Mrs. Mickey Lebsack, Magneton, woodchuck
Ramiro Halvorson, Lickitung, gnu
Ms. Tana Pouros, Wigglytuff, marten
