Thanh Lesch, Horsea, elephant
Lyndon Lesch, Jynx, sea lion
Bert Klocko, Onix, koala
Katheryn Schroeder, Kabutops, hedgehog
Thomas Hilpert, Raichu, water buffalo
Mr. Reyes Jaskolski, Rapidash, ferret
Echo Fahey, Venomoth, ant
Evangeline Mueller MD, Ekans, llama
Palma Kautzer, Bellsprout, crab
Rick Prosacco, Goldeen, camel
Farah Connelly, Gastly, beetle
Eloy Ruecker I, Sandshrew, dolphin
Laverne MacGyver, Blastoise, eel
Kareem Konopelski DDS, Dugtrio, bat
Toney Mueller, Grimer, frog
Loreta Spinka, Venomoth, goat
Foster Hudson, Flareon, dinosaur
Mrs. Shavonne Dickinson, Cloyster, cattle
Anton Leannon, Gastly, reindeer
Brant Buckridge DVM, Golem, termite
Miss Shara Lindgren, Meowth, duck
Debby Ferry, Arcanine, grasshopper
Matilda Shanahan, Geodude, serval
Verona Dietrich, Paras, fly
Stephen Powlowski, Drowzee, reindeer
Rhett Collier, Beedrill, sea lion
Lela Lakin, Magikarp, bear
Mr. Monty Monahan, Vulpix, cod
Brendon Breitenberg DVM, Vileplume, monkey
Tammara Barrows, Venusaur, ferret
Lucretia Gibson, Sandslash, sheep
Elfriede Crist, Nidoqueen, dog
Tamara Ruecker, Omanyte, hamster
Lean Herzog, Rhydon, wildebeest
Jeanetta Kertzmann II, Tauros, hippopotamus
Shad Gorczany, Omanyte, impala
Josiah Hahn, Rhyhorn, hare
Kelvin Weimann, Machop, guinea pig
Delaine Ward, Hitmonchan, bear
Concetta Christiansen, Voltorb, panda
Marie Johnston II, Charizard, woodchuck
Jerrica Kassulke, Jolteon, wolf
Miss Bettye Lowe, Omanyte, shark
Perry Medhurst DVM, Dodrio, butterfly
Stefan Mueller, Meowth, buffalo
Tabitha Konopelski, Ninetales, squirrel
Kennith Paucek DVM, Ivysaur, mink
Sun Wisoky, Magmar, turtle 
Dr. Rosetta O'Hara, Abra, chinchilla
Ms. Ashley Johnston, Paras, mole
