Henry Rippin MD, Golduck, elephant
Donny Anderson, Kingler, hippopotamus
Gerald Hamill, Clefairy, mink
Kori Wolf Jr., Wigglytuff, dog
Celsa Renner V, Pikachu, locust
Sharolyn Blanda, Omastar, eagle
Fidel Kozey, Spearow, gnat
Alphonse Prohaska, Nidoran, buffalo
Darwin Hyatt, Golem, panda
Suzann MacGyver, Mankey, salmon
Luba Beier, Electrode, monkey
Emanuel Kohler Jr., Fearow, cheetah
Carroll Koelpin, Slowpoke, cricket
Brandy Harber, Exeggutor, minnow
Cletus Wintheiser, Eevee, pug
Yong Feest, Fearow, clam
Vivienne Christiansen Jr., Zapdos, tiger
Dr. Ayesha Reinger, Tauros, ape
Arlen Williamson, Dragonite, armadillo
Galen Buckridge, Oddish, duck
Bo Feeney, Muk, seal
Taylor Wolff, Persian, spider
Stanford Kertzmann, Mewtwo, panda
Michiko Brown, Gyarados, pig
Darrel Langworth, Dratini, elk
Mr. Douglass Connelly, Hitmonlee, raccoon
Lilia Boehm, Mew, koala
Vaughn Spinka, Magneton, minnow
Ira Wiza, Jynx, minnow
Osvaldo Marvin, Squirtle, elk
Mrs. Steve Buckridge, Starmie, camel
Chante Bailey, Weepinbell, hare
Mitch Ebert III, Oddish, wildebeest
Brice Gutkowski, Kabuto, wombat
Ms. Wava Morar, Hypno, hyena
Mr. Gil Russel, Poliwag, mosquito
Bambi Goyette MD, Wartortle, moose
Cary Dickens IV, Ivysaur, mouse
Yang Kassulke, Diglett, crow
Stella Bailey, Bulbasaur, beetle
Mrs. Savanna Bode, Onix, moose
Bulah Kozey, Pidgey, hamster
Jeremy Kutch Jr., Arcanine, alligator
Mrs. Racquel Franecki, Kangaskhan, cheetah
Ted Ullrich, Gengar, ant
Elyse Beier, Squirtle, louse
Susana Pollich, Tauros, chimpanzee
Kirstie Lowe DVM, Wigglytuff, rhinoceros
Jacqulyn Hilll, Golem, wombat
Russell Bosco I, Blastoise, hyena
