King Bosco V, Slowbro, butterfly
Trula Beer Jr., Exeggutor, badger
Delma Windler, Dodrio, moose
Erin Welch, Pidgeot, baboon
Danny D'Amore IV, Pikachu, shark
Ivory Lowe, Cloyster, grasshopper
Tad Armstrong, Scyther, bat
Cecila Hoppe I, Cubone, trout
Mr. Jordon Cruickshank, Arbok, panda
Caridad Howe, Ekans, toad
Tien Bailey, Muk, buffalo
Jarod Schoen, Pidgey, duck
Therese Rempel, Zapdos, dinosaur
Alfredo Legros, Machoke, hamster
Lakeesha Macejkovic, Mewtwo, sea lion
Barton Schamberger, Voltorb, buffalo
Alesha Considine, Weezing, monkey
Mr. Reinaldo Treutel, Slowbro, sardine
Lavern Stanton DVM, Diglett, mule
Norma Walter, Vulpix, hamster
Johnson Brekke, Marowak, mule
Arlene Sipes I, Venonat, louse
Kasie Sauer DVM, Mew, porpoise
Bryan Pfannerstill Jr., Dragonair, alligator
Carmina Shanahan, Exeggutor, toad
Catarina Hilpert V, Sandshrew, antelope
Jonah Collins, Abra, cockroach
Rupert Schoen Jr., Dratini, butterfly
Loriann Larson IV, Farfetch'd, mole
Lester Turner, Vulpix, frog
Fallon Gulgowski, Seadra, hippopotamus
Laurence Schiller, Seel, leopard
Suk Swift, Cubone, scorpion
Lesley Quigley III, Venonat, koala
Seymour Rolfson V, Dragonair, whale
Sondra Ritchie III, Mr. Mime, fox
Ms. Azzie Nitzsche, Horsea, cheetah
Weldon Hammes, Flareon, mouse
Denese Fritsch, Vulpix, muskrat
Mark Cummerata, Charizard, gorilla
Antonio Hane, Nidorina, ferret
Lyman Hartmann IV, Cubone, beaver
Zelma Tillman, Electabuzz, yak
Junie Steuber, Pikachu, wildebeest
Elida Flatley, Abra, platypus
Marshall Crist, Ninetales, shark
Janet Huel, Nidoran, baboon
Ara Gislason, Jigglypuff, yellowjacket
Kris Kreiger, Jolteon, cicada
Brooks Orn, Beedrill, goldfish
