Raymon Okuneva, Nidoran, badger
Mrs. Emmanuel Wiza, Mankey, spider
Laquanda Gibson, Zapdos, mole
Necole McClure IV, Sandshrew, kangaroo
Zachary Strosin, Electrode, jellyfish
Miss Stefan Treutel, Paras, moose
Rebecka Gusikowski, Bulbasaur, squirrel
Kelsie Yundt, Gengar, tiger
Miss Werner Koelpin, Meowth, mallard
Jasper Rowe, Sandshrew, zebra
Mrs. Robby Brown, Flareon, bear
Dr. Bennie Konopelski, Poliwrath, reindeer
Sammie Senger, Venomoth, lizard
Maricruz Jones, Diglett, giraffe
Mr. Rodrigo Keebler, Vulpix, locust
Christopher Collier, Ditto, bear
Dr. Emeline Hansen, Kangaskhan, snake
Eileen Harber, Raichu, cricket
Ms. Moses Tromp, Diglett, locust
Gracie Schmeler, Nidorina, crow
Emelina Ullrich, Paras, swan
Rudolf Kuhlman, Seaking, cricket
Dr. Benjamin Wilkinson, Scyther, crab
Sharika Heidenreich, Vileplume, cheetah
Mr. Britteny Abshire, Vulpix, oyster
Bret Raynor III, Golem, alpaca
Aja Homenick Jr., Golbat, weasel
Bennie Bernier, Charizard, goose
Dave King, Marowak, herring
Hong Schaden, Nidorino, seal
Miss Andrew Schaden, Electabuzz, crow
Dale Botsford, Kabutops, goat
Mr. Morgan Brekke, Spearow, jellyfish
Julian Block, Shellder, dolphin
Betsy Harber, Drowzee, gnu
Cassy Medhurst, Voltorb, camel
Mrs. Corine Miller, Omastar, wombat
Mr. Zachary Crona, Rapidash, hound
Bert Krajcik, Golduck, spider
Angelic Gorczany, Venusaur, goose
Roscoe Ziemann, Electrode, jackal
Robyn Hettinger, Tangela, mole
Abdul Volkman, Omanyte, caribou
Mrs. Heidy Carter, Aerodactyl, toad
Dustin Yost, Rattata, chinchilla
Jessi Ebert Jr., Butterfree, duck
Deirdre Vandervort II, Articuno, moose
Dr. Abe Bayer, Starmie, otter
Paulina Davis, Graveler, elephant
Domonique Glover, Clefairy, worm
