Vincenzo Reinger, Seaking, mole
Dr. Marylynn Reinger, Golduck, frog
Colene Maggio Sr., Magneton, tortoise
Ty Fay, Growlithe, crocodile
Marlen Lynch, Diglett, dolphin
Michell Kilback, Dugtrio, moose
Miss Eleanora Schiller, Weedle, butterfly
Warren Hettinger, Poliwrath, sheep
Kortney Medhurst, Poliwrath, minnow
Trula Pouros, Nidorina, weasel
Emil Pollich, Kakuna, rabbit
Dr. Wilbur Frami, Articuno, walrus
Laquanda Considine, Butterfree, zebra
Lauren Hauck, Jigglypuff, fish
Miss Joe Walter, Beedrill, hamster
Felice Labadie II, Haunter, wasp
Kristopher Feeney, Nidoran, grasshopper
Arlie Huel PhD, Persian, shark
Ms. Maynard Gorczany, Aerodactyl, tortoise
Antone Cruickshank, Weedle, koala
Conception Beatty, Psyduck, herring
Ilene Mante IV, Raichu, gorilla
Wallace Walker DDS, Snorlax, beaver
Junior Sauer, Seel, oyster
Angelo Grant, Weepinbell, jellyfish
Kip Hamill, Mankey, porpoise
Gus Jenkins, Paras, gerbil
Mr. Stepanie Conroy, Nidoran, butterfly
Chloe Murray, Gloom, pig
Dr. Sammy Bins, Bellsprout, bee
Salina Kuhlman, Nidoran, minnow
Palmira Bailey, Magneton, fox
Harvey Langosh, Rhydon, spider
Miss Laverne Ernser, Starmie, duck
Augusta Homenick III, Eevee, serval
Natalie Dooley, Victreebel, zebra
Jack Kuphal Sr., Snorlax, platypus
Valentin Langosh, Machop, mole
Waldo Dibbert, Doduo, crocodile
Andre Cormier DVM, Raticate, cattle
Mr. Harley Bednar, Nidoran, caribou
Avelina Denesik, Cloyster, cockroach
Tonisha Legros, Jigglypuff, badger
Adele Kassulke, Dratini, pug
Buck Glover, Dratini, wasp
Mrs. Edmundo Wilkinson, Onix, porpoise
Ronni Hackett, Hitmonchan, spider
Mr. Latonia Kohler, Tentacool, platypus
Norbert Collier Sr., Primeape, woodchuck
Ria Moen, Cubone, woodchuck
