Christina Parisian, Vulpix, whale
Vita Russel, Tauros, crow
Rachel Berge, Slowbro, wolf
Dr. Carolann Stamm, Dragonair, grasshopper
Julian Skiles, Lickitung, grasshopper
Luann Kilback, Tentacool, goose
Virgil Dickens PhD, Raticate, bear
Hermelinda Dietrich, Grimer, clam
Leanne Greenfelder, Moltres, dog
Garry Pacocha V, Poliwag, duck
Tashina Gerhold, Dodrio, elk
Mariel Witting, Nidoran, gnat
Chauncey Orn, Rattata, ant
Kelsi Kuhlman, Oddish, water buffalo
Lucie Borer, Magnemite, dolphin
Noe Runte, Kadabra, tiger
Justin Baumbach, Geodude, raccoon
Manuela Will DVM, Nidorino, goat
Treena Yundt, Snorlax, alligator
Freeda Larkin I, Drowzee, badger
Mr. Yvonne Mayer, Ninetales, minnow
Clint Block, Tentacool, wolf
Mrs. Sana Schuppe, Dugtrio, muskrat
Dr. Cesar Emard, Parasect, eel
Mr. Brandon Abbott, Dugtrio, cattle
Mrs. Everette Romaguera, Victreebel, lizard
Serena Bruen, Flareon, sheep
Miguel Wuckert, Nidoran, hound
Ms. Keneth Hermann, Wartortle, goat
Melanie Moen, Lapras, armadillo
Joe Jones, Onix, muskrat
Malika Denesik, Ninetales, gorilla
Jeanett O'Connell PhD, Vileplume, otter
Dr. Andreas Ziemann, Squirtle, hamster
Ruben Kuvalis IV, Rhyhorn, mammoth
Anderson Baumbach, Meowth, guinea pig
Tommy Schowalter, Slowpoke, tiger
Stefani Block DDS, Venomoth, goat
Aubrey Hahn, Gyarados, squirrel
June Hermiston, Electrode, zebra
Patrica Goodwin II, Exeggcute, beaver
Mrs. Armida Tromp, Diglett, dog
Mrs. Doug Bayer, Bulbasaur, porcupine
Cathi Bailey DVM, Haunter, trout
Rashad Schimmel, Magneton, crow
Mrs. Krystyna Kunze, Mankey, salmon
Miss Kati Russel, Dewgong, deer
Fred Labadie, Raticate, cattle
Gene Crona, Kabuto, beetle
Yoshiko Mann, Ivysaur, hare
