Johnson Bauch, Doduo, coyote
Mrs. Shanti Rogahn, Abra, chinchilla
Alba Braun, Moltres, prairie dog
Theodore Cummerata II, Weepinbell, alligator
Claire Krajcik, Pidgeotto, horse
Percy Krajcik, Spearow, armadillo
Kristofer Adams PhD, Nidorino, gnu
Dr. Dorris Kertzmann, Goldeen, fly
Melina Hickle MD, Hypno, eagle
Keely Bogan IV, Vulpix, eagle
Mrs. Flora Altenwerth, Cloyster, termite
Mr. Willis Marvin, Magnemite, wallaby
Ms. Thomasine Rogahn, Dragonair, seal
Candice Spencer, Haunter, cockroach
Mr. Melina Senger, Kadabra, cheetah
Pedro O'Conner, Lickitung, seal
Mr. Jc Wunsch, Kangaskhan, manatee
Beau Lynch, Koffing, hamster
Milo Wintheiser I, Dodrio, rat
Celena Breitenberg, Muk, weasel
Dr. Brant Lubowitz, Doduo, gnat
Isidra Herman V, Ditto, llama
Cameron Herzog, Victreebel, moose
Garret MacGyver, Dugtrio, dolphin
Jermaine Bednar, Squirtle, sheep
Virgil Klein III, Haunter, badger
Cori Stokes, Nidorina, armadillo
Dane Stamm, Starmie, goose
Mr. Karen Moore, Seel, fox
Carlie Franecki, Weepinbell, buffalo
Jamila Crona, Gloom, squirrel
Miss Luci Zulauf, Gloom, mammoth
Parker McGlynn, Gloom, mallard
Aleshia Reilly, Beedrill, hamster
Benjamin Marvin, Seadra, jackal
Dr. Amalia Nicolas, Articuno, frog
Jacelyn Berge, Raticate, yak
Johnie Ortiz III, Abra, elephant
Cher Haag, Fearow, jellyfish
Melda Kiehn, Jigglypuff, jellyfish
Shanta Kautzer, Koffing, chinchilla
Maricela Kuhic, Poliwag, ant
Jan Hodkiewicz, Persian, zebra
Shanell Buckridge, Metapod, caribou
Ernie Grady, Weepinbell, cat
Mr. Kiyoko Koelpin, Staryu, donkey
Trang Block, Seaking, ox
Miss Theodore Reichert, Cloyster, jellyfish
Lindy Spinka, Krabby, pug
Mr. Bernardina Ankunding, Dragonite, whale
