Mr. Nathanael Hauck, Dewgong, serval
Miss Marinda Lemke, Oddish, salmon
Matha Kub, Staryu, chimpanzee
Lonnie McLaughlin, Weepinbell, swan
Mr. Donny Krajcik, Kabuto, porpoise
Colin Huel, Nidoqueen, sheep
Daryl Kohler, Hypno, ferret
Honey Langosh, Kadabra, horse
Oliver Breitenberg DVM, Farfetch'd, antelope
Alba Veum, Pidgey, bee
Ulrike Farrell, Meowth, elephant
Miss Carolee Nader, Hitmonchan, squirrel
Cody Rice, Slowpoke, fly
Mr. Ronnie Kutch, Lickitung, pig
Clarissa Lemke, Tentacool, wasp
Damian Toy, Chansey, wallaby
Kena Jaskolski, Poliwhirl, duck
Dana Koch, Gastly, shark
Dr. Odelia Reichel, Omanyte, squirrel
Ernestina Homenick, Onix, marten
Miss Edmond Kuvalis, Golduck, bat
Mike Reilly PhD, Venonat, ferret
Christopher Padberg, Gengar, manatee
Winford Kshlerin, Venonat, butterfly
Judson Zboncak, Horsea, tortoise
Elfrieda Hayes, Venonat, gorilla
Emmaline Krajcik, Kadabra, seal
Asa Harber, Slowbro, sea lion
Lucila Runolfsson, Onix, shark
Hilma Kreiger, Graveler, elephant
Kendrick MacGyver, Exeggutor, tiger
Wesley Bradtke, Moltres, impala
Esperanza Welch, Nidoran, horse
Merlin Carroll, Gloom, louse
Ms. Jere Purdy, Charmeleon, hound
Spencer Johnson MD, Exeggutor, ferret
Bob Herman, Slowbro, donkey
Antoinette Blanda, Sandslash, locust
Christoper Conroy, Poliwrath, cattle
Maryann Bailey, Venonat, otter
Anibal Schimmel Jr., Ekans, zebra
Justine Langworth, Machamp, muskrat
Clarita Stiedemann, Lapras, baboon
Steven West, Magneton, cicada
Mrs. Eartha Dickens, Wartortle, fish
Miss Eboni VonRueden, Metapod, cod
Miss Dane Goldner, Dugtrio, locust
Floretta Donnelly, Machoke, lizard
Miss Robby Hills, Ekans, muskrat
Devon Macejkovic V, Weedle, jackal
