Billy Vandervort, Chansey, fish
Azzie Koelpin, Alakazam, sardine
Judi Graham, Tauros, leopard
Omer Shields, Muk, otter
Tien West II, Hypno, wallaby
Arlie Pfannerstill, Nidoran, yak
Alva Auer, Articuno, swan
Bernard Osinski I, Gastly, cod
Shaina Ward, Rapidash, grasshopper
Criselda Connelly, Snorlax, ant
Joseph Davis III, Nidoran, ant
Donn Mohr, Doduo, eagle
Kerri Quigley Jr., Tauros, wallaby
Johnathan McClure, Magnemite, armadillo
Alethia White, Beedrill, gerbil
Miss Lamonica Stanton, Victreebel, tortoise
Dr. Carmine O'Kon, Gloom, baboon
Lizzette Vandervort, Staryu, seal
Daphne Padberg, Tauros, rabbit
Carolyne Torphy, Moltres, guinea pig
Royal Dare, Dodrio, dolphin
Madison Schoen V, Kadabra, badger
Miss Denisse Haley, Magmar, wildebeest
Bobby McLaughlin, Ivysaur, elk
Lisa Wiza, Flareon, coyote
Kitty Lockman, Oddish, alligator
Lauri Witting, Magmar, yellowjacket
Cedric MacGyver, Gengar, serval
Emmie D'Amore, Ekans, goose
Elton Mraz, Farfetch'd, rat
Annett Morissette MD, Psyduck, muskrat
Sueann Russel, Chansey, goat
Morgan Cartwright V, Tentacool, cicada
Sydney Champlin, Snorlax, porcupine
Grant Gutmann, Jynx, fly
Mike O'Hara, Pinsir, beetle
Rufus Towne PhD, Kingler, frog
Kristen Treutel, Magneton, squirrel
Herlinda Armstrong, Arcanine, sardine
Karlene Fadel, Mew, yellowjacket
Karima Watsica, Dodrio, antelope
Mrs. Jordan Volkman, Raichu, elk
Inell O'Conner, Slowbro, bee
Dorathy Towne, Gastly, caribou
Adelaide Cartwright PhD, Mewtwo, ape
Debby Kessler, Machoke, raccoon
Tonita Mosciski, Staryu, monkey
Leonardo Adams DVM, Pidgeot, llama
Tiffany Hansen, Vaporeon, platypus
Miles Shields, Abra, sardine
