Emmie Yost, Charizard, marten
Alejandro Kunze, Kabutops, fish
Oda Kovacek, Golduck, louse
Miss Mason Daugherty, Charmander, hyena
Veronika Ziemann, Haunter, leopard
Darla Feil, Omastar, dolphin
Leoma Grady, Gloom, eagle
Penny Kirlin II, Diglett, ox
Lee Russel, Slowpoke, walrus
Roger Harber, Dewgong, dog
Charlotte Kihn, Rhydon, seal
Alvera Okuneva, Dodrio, caribou
Abraham Rowe, Nidorina, crab
Catarina Upton Sr., Machop, manatee
Mrs. Malik Sanford, Omastar, eel
Ila Dicki, Vulpix, jackal
Bethann Larkin, Venonat, swan
Ms. Cristal Breitenberg, Moltres, mouse
Venus Hoppe Sr., Drowzee, wildebeest
Sharmaine Berge, Geodude, armadillo
Josue Effertz, Beedrill, duck
Alvin McKenzie, Lickitung, louse
Pearly Spinka, Persian, manatee
Cherish Will, Venonat, baboon
Lidia Schaden, Magneton, cheetah
Karyn Schoen, Machop, deer
Ms. Ty Block, Wartortle, termite
Courtney Nader, Butterfree, ox
Wilbert Sipes, Golbat, porcupine
Merlyn Wolff, Dodrio, hornet
Juan Klein, Spearow, impala
Doris Wunsch, Caterpie, salmon
Lacy Paucek MD, Zubat, skunk
Ilana Torphy IV, Horsea, otter
Huong Cartwright I, Charizard, mallard
Craig Gottlieb, Mr. Mime, eel
Kenia Reynolds, Doduo, bat
Dr. Adrien Wolff, Seaking, cattle
Alonso Nicolas, Ponyta, eagle
Ms. Noe Miller, Exeggcute, pug
Stuart Feil, Charizard, worm
Tanna Grady I, Charmander, ferret
Neil Ratke Sr., Shellder, macaw
Mrs. Faustina Borer, Kingler, ape
Miss Orval Daniel, Metapod, cattle
Cyrus Durgan, Nidoran, wasp
Roseanne Balistreri, Hitmonchan, herring
Ms. Louie Cremin, Omanyte, minnow
Aaron Kunde, Nidoran, antelope
Felicia Reinger, Dragonite, llama
