Tonda Dooley, Seel, turtle 
Mrs. Leo Becker, Pidgey, locust
Floria Nienow, Kangaskhan, cattle
Dana Jenkins, Vileplume, bee
Miss Pedro Hackett, Dodrio, llama
Kena Nikolaus Sr., Jigglypuff, serval
Samatha Leffler, Mewtwo, crab
Coreen Turner, Graveler, raven
Mrs. Milan Von, Omanyte, cicada
Dr. Wan Goldner, Scyther, mosquito
Alita Predovic, Exeggutor, goat
Katy Deckow, Hitmonlee, otter
Henriette Willms, Jynx, crow
Dudley Denesik, Horsea, panda
Flossie Bashirian, Nidoran, cheetah
Noel Welch, Rapidash, jackal
Jarrett Murray, Blastoise, goose
Vesta Glover, Rattata, koala
Elidia Kutch, Oddish, elephant
Yolando Moen, Nidorina, serval
Shawn Baumbach, Zubat, gorilla
Shawanna Lueilwitz DVM, Voltorb, wildebeest
Giselle Gibson, Golbat, mink
Sonny Muller, Kakuna, lizard
Joel Kemmer, Kakuna, llama
Mr. Beau Lockman, Weedle, goldfish
Mrs. Willow Gaylord, Alakazam, pug
Miss Ta Schaefer, Butterfree, wallaby
Isaias Homenick, Tangela, lion
Leonard Beier, Gastly, cockroach
Darrick Kunze, Nidoqueen, pig
Clementina Stokes, Arcanine, deer
Rene Koelpin, Kabutops, marten
Hugo Johnson V, Rhydon, fly
Destiny Koelpin, Dugtrio, antelope
Sheri O'Keefe, Machoke, gorilla
Gordon Dare, Sandshrew, reindeer
Ebony Kunde, Machoke, mosquito
Denisha Corwin, Horsea, mouse
Dr. Ta Anderson, Kangaskhan, shark
Arnetta Sipes, Farfetch'd, caribou
Evelia Barton, Paras, wildebeest
Dr. Zachary Fisher, Exeggcute, shark
Raymon Feil III, Kingler, mosquito
Elinor Muller, Venomoth, eel
Mark Schultz, Diglett, pug
Rudy Corkery, Gengar, ape
Reid Crona, Lickitung, alligator
Mikel Anderson, Tangela, manatee
Ty Ratke Jr., Rattata, wolf
