Gwyn Stanton III, Wigglytuff, seal
Dr. Jonnie Funk, Wartortle, hippopotamus
Rebeca Yost, Weezing, toad
Mrs. Rusty Hodkiewicz, Sandslash, spider
Matt Wilkinson, Golbat, rat
Shondra Kuvalis, Paras, beetle
Malcom Haley PhD, Haunter, zebra
Laurel Corkery, Poliwag, gnu
Nga Littel, Goldeen, raccoon
Mrs. Daria Bogan, Sandslash, leopard
Emery Kshlerin, Bulbasaur, elk
Ferdinand Kihn IV, Tangela, wallaby
Laci Farrell MD, Machamp, scorpion
Archie Hettinger, Hypno, lizard
Tonda McKenzie IV, Voltorb, wildebeest
Miss Horace Hintz, Weepinbell, panda
Lorine Herzog, Porygon, fly
Jared Jaskolski, Dewgong, trout
Miss Joey Crona, Nidoqueen, elephant
Allen Macejkovic, Ponyta, hamster
Damon Batz, Mewtwo, cod
Mark Volkman, Goldeen, horse
Mr. Brigid Bode, Vaporeon, wolf
Phillip Witting, Slowbro, leopard
Elwood Von MD, Victreebel, deer
Miss Alberta Windler, Drowzee, butterfly
Mr. Terrell Hane, Tentacool, trout
Armando Bins, Rhyhorn, badger
Becki Quigley, Exeggcute, beaver
Mr. Toby Stehr, Wartortle, platypus
Shelton McLaughlin, Weezing, crow
Beau Orn, Hitmonlee, eel
Jolene Stoltenberg DDS, Weedle, wallaby
Milton Fisher, Butterfree, fly
Dr. Richard Christiansen, Blastoise, bear
Walter Wintheiser, Magmar, shark
Aiko Bashirian, Blastoise, tortoise
Lisandra Bashirian, Fearow, yellowjacket
Stephania Armstrong, Vileplume, jellyfish
Darren Parisian, Dragonite, cod
Marcelo Borer, Raichu, zebra
Miss Enrique Kling, Charmander, muskrat
Florencio Towne, Moltres, goose
Ms. Emilee Beier, Porygon, alligator
Everett Denesik, Venomoth, kangaroo
Angelo Sporer, Dratini, hippopotamus
Verla Reinger DDS, Mankey, guinea pig
Cammie Effertz, Kabuto, panda
Annamaria Nader PhD, Golbat, scorpion
Isiah Gutmann, Charmander, baboon
