Miss Chet Morissette, Kabutops, yellowjacket
Cliff O'Hara, Bellsprout, goose
Charita Zieme, Growlithe, goose
Arletta Tromp, Charizard, macaw
Percy Konopelski Sr., Poliwhirl, gnat
Wanetta Mills, Venusaur, dolphin
Ms. Tifany Luettgen, Spearow, cicada
Miss Ginette Zboncak, Raichu, goose
Jackie Jakubowski, Ninetales, wombat
Delfina West DVM, Nidoking, macaw
Mr. Chance Lemke, Charizard, clam
Casey O'Keefe DVM, Venusaur, bat
Lin Labadie, Beedrill, impala
Barry Bogan, Slowbro, leopard
Rebbeca Pfeffer, Kadabra, seal
Aisha Hamill V, Magneton, goldfish
Miranda Rodriguez, Haunter, chinchilla
Emmett Muller, Dratini, monkey
Melina Kovacek, Flareon, antelope
Daron Littel PhD, Bulbasaur, raven
Eliseo Dibbert V, Snorlax, lion
Asley Welch, Abra, dinosaur
Ruthe Casper, Krabby, pug
Helene Ritchie, Alakazam, cheetah
Frederick Howe, Charmander, hedgehog
Jack Koch Jr., Marowak, mammoth
Dan Jerde, Poliwag, hornet
Miss Teri Terry, Nidoqueen, dinosaur
Mr. Buster Robel, Krabby, mammoth
Gerardo Gutkowski, Metapod, porpoise
Dimple Lemke, Victreebel, fox
Francis Smith Jr., Oddish, sardine
Linette Bruen, Electabuzz, beetle
Christian Kreiger, Jynx, frog
Mrs. Mckinley Swaniawski, Slowbro, porpoise
Darryl Rutherford, Charmeleon, hamster
Heriberto Trantow, Marowak, crow
Wade Raynor, Charmeleon, muskrat
Meri Greenholt, Weepinbell, butterfly
Enoch Halvorson, Poliwrath, beaver
Jesus Waelchi, Growlithe, cat
Myrna Johns, Goldeen, mammoth
Herman Kulas, Dewgong, baboon
Leonel Pacocha MD, Articuno, macaw
Man Rempel, Exeggcute, tortoise
Dr. Rufus Feil, Weezing, porcupine
Abram Kertzmann, Muk, eel
Mathew Schimmel, Charmander, horse
Jewell Langosh, Dodrio, sheep
Normand Kohler, Tangela, fly
