Sammie Larson, Goldeen, mule
Natosha Ankunding, Poliwrath, zebra
Meghan Shanahan, Nidoking, armadillo
August Jones, Jigglypuff, cod
Sha Ondricka, Jynx, hyena
Christie Moore, Pinsir, seal
Coleman Kuhic, Lickitung, hornet
Mrs. Waylon Crist, Tentacruel, alpaca
Gabriel Parker, Aerodactyl, giraffe
Thaddeus Powlowski, Electrode, eagle
Alline Gerlach, Psyduck, serval
Stefani Stamm I, Tauros, ape
Mariette Pfeffer, Dragonair, swan
Malissa Baumbach I, Pinsir, louse
Dennise Brekke I, Exeggutor, squirrel
Pauletta Luettgen, Cloyster, elephant
Alicia Gulgowski, Vaporeon, donkey
Young Kuvalis, Parasect, yak
Rhett Bednar, Hypno, grasshopper
Jacquetta Cummerata, Lapras, ferret
Major Weber, Wartortle, pug
Terra Jast DVM, Graveler, gnat
Thad Hegmann, Metapod, yellowjacket
Harrison Halvorson, Scyther, tiger
Christina Konopelski PhD, Primeape, tiger
Kerry Volkman V, Cubone, goose
Cecile Huel, Eevee, leopard
Bryce Maggio, Parasect, kangaroo
Mohammed Gleason IV, Nidorino, dog
Mrs. Quinn Schmitt, Flareon, beetle
Hubert Watsica, Grimer, hedgehog
Myrtle Bruen, Pikachu, tortoise
Roxane Hirthe, Shellder, cockroach
Dr. Nana Rolfson, Nidoran, ant
Sharla Littel, Nidoran, fly
Cristina Rau PhD, Muk, beaver
Miss Adan Lebsack, Victreebel, donkey
Virgil Wintheiser, Mankey, pig
Marielle Herzog, Growlithe, goose
Eddy Herzog, Electrode, cricket
Rodolfo Farrell, Beedrill, coyote
Jamie Greenholt V, Nidoran, swan
Neville Dare, Aerodactyl, dolphin
Carolina Wiegand, Seel, tortoise
Miss Scotty Rosenbaum, Tauros, fox
Elsy Rodriguez, Paras, giraffe
Miss Myrtle Oberbrunner, Grimer, trout
Hector Witting III, Golduck, koala
Erasmo O'Hara, Haunter, impala
Diana Monahan, Weezing, donkey
