Ms. Dorothea Abshire, Krabby, cattle
Lynwood Brown, Rhydon, tiger
Kennith Stracke, Pinsir, crab
Carlos Cassin I, Poliwhirl, cockroach
Kellie Ryan, Haunter, donkey
Antionette Borer, Voltorb, donkey
Evan Abbott Jr., Chansey, caribou
Ms. Nick Waters, Pikachu, salmon
Darius Turner, Articuno, hedgehog
Deandre Langosh Jr., Slowpoke, cockroach
Xenia Walsh, Shellder, leopard
Peter Lebsack, Kabutops, woodchuck
Nathanial Gibson, Marowak, wallaby
Janelle Roberts, Eevee, cricket
Joellen Johns, Tentacruel, zebra
Mr. Onie Yost, Muk, impala
Elvis Torp V, Electabuzz, weasel
Sang Harvey, Hypno, seal
Lenard Goyette Jr., Omastar, alpaca
Wan Douglas, Weezing, beaver
Cary Stroman, Poliwrath, wildebeest
Lane Muller, Seadra, tiger
Malka Reinger Jr., Kakuna, jackal
Mr. Jane Reichert, Cubone, muskrat
Donella Von, Poliwag, lion
Morgan Koch, Mew, gnat
Filiberto Wintheiser, Raticate, squirrel
Venice Grady, Sandslash, termite
Joyce Carter, Rapidash, macaw
Toccara Crist Sr., Machamp, cat
Donnie Mueller DVM, Mankey, seal
Garry Schoen, Beedrill, eagle
Tova Carter MD, Meowth, raccoon
Crysta Glover Jr., Magikarp, armadillo
Dr. Wilfred Schuppe, Nidorina, dog
Mack Bosco Jr., Vileplume, caribou
Delila Ortiz, Snorlax, cicada
Miss Rochell Ziemann, Horsea, llama
Meggan Douglas II, Butterfree, hyena
Christi Bayer, Rhydon, cheetah
Miss Lin Kuhlman, Chansey, jellyfish
Janette Raynor, Venusaur, turtle 
Darell McCullough, Onix, cockroach
Miss Herbert Hoeger, Dratini, wallaby
Miss Zena Brown, Magnemite, bee
Luciano Hilpert, Flareon, crow
Sarina Lang, Rapidash, crocodile
Christi Hand, Snorlax, fish
Hilton Mraz, Wigglytuff, crab
Dori Pfannerstill DVM, Lickitung, wombat
