Melvin Rutherford, Lapras, caribou
Chi Olson, Butterfree, monkey
Deandrea Osinski V, Beedrill, muskrat
Marlin Green, Electrode, hippopotamus
Ed Zemlak, Aerodactyl, marten
Michal Robel, Sandshrew, baboon
Mr. Sherwood Cronin, Charmander, chinchilla
Dr. Dung Paucek, Charmeleon, mole
Tamekia Gutmann, Golduck, raven
Antonia Mayer V, Grimer, woodchuck
Verlene McGlynn MD, Seaking, goose
Carley Conn, Nidoran, goat
Marita Emmerich, Machop, crocodile
Jordon Kemmer, Kingler, goat
Rachelle Hahn, Venusaur, hippopotamus
Alejandro Walker, Omanyte, dog
Gerard Leffler, Dewgong, locust
Phil Walker, Machoke, dog
Laurence Abshire, Tentacruel, porcupine
Kermit Sanford, Nidorino, cod
Rasheeda Bashirian, Clefable, snake
Dr. Isaiah Wilderman, Rhydon, mallard
Dalton Wyman V, Weedle, hare
Ben Reinger, Arbok, sardine
Paul Thompson, Zapdos, baboon
Mrs. Sade Conroy, Nidorino, whale
Alexis King I, Jolteon, cattle
Zita Haag, Shellder, sea lion
Courtney Hettinger, Marowak, worm
Cleveland Will PhD, Rhyhorn, gnu
Dillon Block, Kakuna, sardine
Ms. Warren Frami, Golem, gnu
Kelsie Funk, Kakuna, hound
Milford Willms, Kadabra, crab
Mrs. Clair Hettinger, Jynx, fox
Dr. Kurtis Bogan, Venomoth, ape
Nidia Daugherty, Zubat, hound
Maxwell Grimes, Voltorb, jackal
Darrell Beier, Poliwrath, deer
Shelby Nienow Sr., Raticate, spider
Ms. Adriana Mitchell, Blastoise, crocodile
Dr. Kayleigh Mueller, Onix, wasp
Mrs. Sung Medhurst, Nidoqueen, cat
Alfonzo Marquardt, Cloyster, whale
Tien Lind, Onix, raven
Sheila Reilly, Pidgeot, ant
Albert Boyle, Farfetch'd, eagle
Ms. Oralia Cruickshank, Mew, mosquito
Chauncey Breitenberg Jr., Pidgeotto, tiger
Andria Sipes, Caterpie, goose
