Leann Considine, Farfetch'd, scorpion
Dwight Cormier III, Weedle, armadillo
Derick Wiza, Bellsprout, hare
Shauna Bosco, Eevee, cheetah
Kristine Leannon, Charmander, horse
Jacob Walker II, Mr. Mime, louse
Mr. Mickey Ratke, Gastly, goat
Mrs. Ernesto Ledner, Marowak, alligator
Herman Roob V, Geodude, minnow
Miss Porter Baumbach, Kingler, muskrat
Cortez Jacobs, Tentacruel, bear
Doug Douglas, Primeape, scorpion
Jana Russel, Seaking, muskrat
Frederica Denesik II, Rattata, donkey
Hosea Hane, Ivysaur, wallaby
Louie Mitchell, Doduo, duck
Dakota Schamberger Jr., Kabuto, guinea pig
Trinh Larson, Krabby, lizard
Coleman Heathcote, Nidorina, mouse
Ms. Lorilee Labadie, Seadra, porcupine
Jermaine Raynor, Wigglytuff, dinosaur
Romeo Windler, Magnemite, mallard
Hattie Aufderhar, Tauros, crocodile
Jeramy Balistreri, Slowpoke, rabbit
Loise Metz, Machoke, zebra
Marth Baumbach, Kabutops, manatee
Mrs. Joslyn White, Pidgeot, wallaby
Barbra Johnston, Kadabra, minnow
Ms. Rolande Runolfsson, Mew, eel
Mr. Carl Pfannerstill, Rhydon, crocodile
Hassie Sauer, Rapidash, rhinoceros
Isabelle Gerlach, Kangaskhan, crocodile
Kelvin Kris, Bulbasaur, gerbil
Lorrine Morar, Machop, ferret
Anastacia Volkman, Bellsprout, weasel
Gayle Hagenes Jr., Persian, ferret
Melissa Volkman MD, Eevee, pig
Mr. Celinda Herman, Rattata, wildebeest
Thanh Gibson, Bulbasaur, giraffe
Randal Buckridge MD, Dragonite, chinchilla
Gerda Welch, Aerodactyl, porcupine
Daryl Breitenberg, Dragonite, yellowjacket
Santo Waelchi, Spearow, mink
Otilia O'Keefe, Nidorina, sheep
Maile Veum, Snorlax, grasshopper
Benedict Thiel I, Charizard, mallard
Nathan Goldner, Tangela, sheep
Trista Trantow, Gengar, eagle
Tena Dooley I, Magneton, porpoise
Nga Little, Pikachu, lion
