Hillary Leffler MD, Kabutops, cattle
Erwin Rohan, Magikarp, elk
Iris Bartell, Hypno, muskrat
Harvey Marvin, Farfetch'd, scorpion
Bryce Johnson, Pidgeot, snail
Stacie Waelchi, Eevee, whale
Merri Lueilwitz, Hitmonchan, scorpion
Stephan Okuneva, Venomoth, chimpanzee
Gay Paucek, Dragonite, gnat
Janae Kozey, Kakuna, pug
Delila Mohr DVM, Diglett, ape
Dr. Adrian Lesch, Kakuna, gnu
Basilia Lesch II, Dratini, spider
Suzanne Powlowski, Ninetales, cheetah
Theron McClure, Dragonite, frog
Mitsuko Wehner DVM, Gloom, gnu
Darrel Cruickshank IV, Mew, pug
Chau Legros, Nidorina, gorilla
Arline Hamill, Graveler, snake
Hank Thiel, Seel, locust
Lavonna Purdy I, Ponyta, hamster
Toshiko Kemmer Sr., Bellsprout, cricket
Kenny Dickinson, Primeape, ferret
Stan Sanford, Seaking, camel
Monika Runte, Vileplume, oyster
Earlene Bailey, Hitmonlee, snake
Bobby Towne, Magikarp, badger
Kristie Reichel, Machop, ant
Tristan Price, Dragonair, duck
Marianna Lubowitz, Slowbro, walrus
Bryon Kuhn, Fearow, chimpanzee
Brant Mayert, Sandslash, koala
Ozzie Bergstrom, Muk, dolphin
Jeanine Schoen, Farfetch'd, dinosaur
Ms. Wan Dickens, Seadra, bee
Eartha Schowalter, Porygon, duck
Eliseo Reinger, Dodrio, clam
Ms. Mayola Jenkins, Mr. Mime, cat
Irma Kulas, Starmie, spider
Ms. Sade Jakubowski, Jolteon, wallaby
Kimberley Predovic, Parasect, zebra
Kiesha Osinski, Cloyster, turtle 
Lacie Moore, Farfetch'd, mosquito
Greg Volkman, Articuno, hound
Ms. Kristen Waters, Nidorina, snail
Florida King, Onix, crocodile
Logan Gislason, Machoke, salmon
Antony Conroy, Nidoking, moose
Luis Hoeger, Scyther, coyote
Dr. Murray Konopelski, Chansey, alpaca
