Dora Towne, Vaporeon, duck
Tiana Turcotte, Machoke, alligator
Armida Braun, Venomoth, mosquito
Raisa Kling, Kadabra, crow
Ms. Chu Von, Pidgeotto, badger
Lupe Kuvalis, Raticate, shark
Tameka Gulgowski II, Arbok, lion
Neal Veum, Omastar, cod
Nathan Wilkinson, Bulbasaur, cicada
Clinton Friesen, Grimer, squirrel
China Bogan Sr., Mankey, snail
Cordell Shanahan, Poliwrath, cattle
Azzie Breitenberg III, Golbat, trout
Ms. Kalyn Macejkovic, Doduo, yak
So Roberts, Poliwag, whale
Jesse Hilll, Squirtle, mule
Tyree Jenkins, Nidoking, fish
Lincoln Turcotte II, Oddish, water buffalo
Patrick West, Slowbro, otter
Miss Tandra Nolan, Psyduck, muskrat
Deshawn Blanda, Kangaskhan, koala
Malcolm Trantow DDS, Clefable, leopard
Lonnie Jacobs, Poliwhirl, deer
Shaunna Okuneva, Blastoise, toad
Dr. Bonnie O'Hara, Graveler, marten
Byron Brakus DVM, Wartortle, turtle 
Chung Lynch, Ninetales, chinchilla
Dia Larkin, Pidgeotto, ape
Mr. Martin McKenzie, Hitmonchan, cicada
Mr. Kasey Leuschke, Butterfree, cheetah
Gisela Ferry DVM, Starmie, cheetah
Jamie Zboncak, Exeggutor, mosquito
Denver Cremin, Scyther, goldfish
Brett Larkin, Electrode, buffalo
Ms. Prudence Dickens, Venomoth, buffalo
Carey Langworth, Meowth, woodchuck
Johnathon Goodwin, Dragonair, antelope
Adrienne Schneider, Gastly, lion
Reita Ruecker V, Seaking, guinea pig
Nickolas Padberg, Clefairy, wallaby
Kristyn Rosenbaum, Farfetch'd, wallaby
Kenneth Luettgen, Poliwrath, fox
Jo Bins, Vileplume, hamster
Trista Haag, Charmeleon, wildebeest
Sherman Ritchie, Jigglypuff, bear
Penney Jerde Sr., Voltorb, mosquito
Eduardo Considine MD, Beedrill, crow
Val Ortiz, Ditto, duck
Rufus Bauch, Dragonite, squirrel
Adelaida Moore III, Psyduck, mammoth
