Lyndon Lindgren, Drowzee, fly
Shaunna Turner I, Cloyster, zebra
Bertram Pouros, Tauros, porpoise
Bettina Reilly II, Squirtle, louse
Mrs. Barrett Hettinger, Spearow, rat
Anton Mante, Kabuto, spider
Devin Bernier IV, Scyther, louse
Caleb Reichel, Primeape, porpoise
Jae Cormier PhD, Pinsir, whale
Buddy Metz, Porygon, weasel
Dr. Garry Hudson, Mewtwo, salmon
Regena Anderson, Nidorina, crow
Adina Simonis DVM, Gloom, lion
Hiram Douglas, Clefairy, rat
Kathy Walter, Marowak, snail
Sharla Ziemann, Voltorb, hornet
Ms. Dwight Sporer, Kabutops, koala
Ngoc Bernhard, Dewgong, koala
Tony Roberts, Hypno, whale
Francisco Volkman, Dragonair, worm
Mario Feest, Jolteon, dinosaur
Earl Runolfsdottir, Oddish, cicada
Marisela Nicolas, Golduck, badger
Lucretia Sauer, Rhyhorn, baboon
Zachery Price, Ponyta, clam
Zachariah Kshlerin, Articuno, tortoise
Harley Homenick, Chansey, hare
Miss Wyatt Tremblay, Mewtwo, macaw
Aurore Kling, Psyduck, goat
Freddie Reynolds DVM, Weepinbell, giraffe
Hollie Cummerata, Persian, deer
Ines Pacocha, Fearow, hare
Mrs. Lawrence Jacobs, Mr. Mime, crab
Denver Raynor, Moltres, rabbit
Kazuko Quigley, Raichu, bee
Teddy Reynolds, Nidoking, lizard
Morgan Grant, Exeggutor, sea lion
Mrs. Ariel Nicolas, Psyduck, crocodile
Marquitta Mraz, Pinsir, macaw
Charlesetta Windler DDS, Golem, oyster
Stephen Mueller, Krabby, louse
Hyun Fay Jr., Graveler, panda
Jeniffer Larson, Psyduck, porpoise
Ms. Khadijah Von, Farfetch'd, worm
Dr. Alexander Wintheiser, Jigglypuff, gorilla
Gertha Gutmann I, Blastoise, salmon
Kelley Funk, Kabutops, alpaca
Margart Rath, Staryu, snail
Miss Gerardo Prosacco, Parasect, macaw
Connie Price, Charmeleon, ape
