Lillian Deckow, Bulbasaur, koala
Justine Fahey, Charizard, turtle 
Marybeth Kohler V, Seadra, hornet
Tracey Sawayn III, Machamp, hedgehog
Edwardo Turcotte, Sandshrew, tortoise
Leisa Schamberger, Beedrill, wombat
Kandice Wisoky, Kabuto, butterfly
Marylynn Grimes MD, Golbat, snake
Ricardo Funk, Rattata, elk
Josphine Kshlerin, Gengar, termite
Tennie Bode, Wigglytuff, crocodile
Jay Hilpert, Jigglypuff, marten
Emmanuel Durgan, Magmar, dinosaur
Gilma Will, Charizard, walrus
Sanjuana Hirthe III, Arbok, fox
Shayne Reichert, Tauros, chinchilla
Kym Senger, Nidoking, camel
Orlando Padberg I, Nidorina, buffalo
Carline Douglas, Parasect, lizard
Rickie Harris, Nidoqueen, scorpion
Ms. Wiley Batz, Ivysaur, fly
Winter Gutkowski MD, Omastar, alpaca
Kasha Reilly IV, Grimer, mosquito
Mrs. Buford Langosh, Krabby, trout
Dr. Cary White, Rhyhorn, trout
Nolan Leffler, Porygon, mallard
Archie Maggio, Ninetales, jellyfish
Lashonda Dicki I, Voltorb, shark
Mrs. Talisha Willms, Zapdos, cheetah
Katrina Wehner, Vileplume, locust
Carolina Kautzer, Beedrill, swan
Edmond Wolff, Dewgong, bat
Valene Bergstrom, Lickitung, mouse
Marcellus Schmeler, Chansey, jellyfish
Miquel Rippin, Rapidash, snail
Dr. Willa Considine, Ditto, mole
Melda Hoeger PhD, Flareon, locust
Ms. Shelby Marks, Persian, leopard
Domenic Pfeffer Jr., Gengar, bat
Derrick Funk, Golduck, moose
Sid Hansen, Poliwag, guinea pig
Charlesetta Towne, Squirtle, shark
Gail Emard, Articuno, camel
Keven Hamill, Clefable, hare
Rhea Runolfsdottir, Haunter, seal
Vanessa Koelpin, Spearow, chimpanzee
Sharan Doyle DVM, Jynx, gnu
Claude Barrows, Charmeleon, panda
Ms. Ammie Lesch, Pidgeotto, armadillo
Sharice Franecki, Eevee, raven
