Ollie Gaylord, Nidoran, bat
Quincy Goodwin III, Poliwrath, camel
Roosevelt Blanda, Vaporeon, mosquito
Lezlie Krajcik, Paras, hamster
Maria Koepp II, Starmie, wildebeest
Heide Hagenes, Kadabra, koala
Ivy Harris, Sandslash, cockroach
Alphonse Collier, Venusaur, elk
Frederick Wisoky IV, Pikachu, alligator
Shelby Hagenes, Diglett, gnu
Jackelyn Metz, Drowzee, jackal
Tamica Durgan, Zubat, cockroach
Mathew Moen, Vaporeon, wombat
Sophie Steuber, Lapras, dog
Mrs. Milo McDermott, Shellder, wallaby
Noma Stark, Machoke, chimpanzee
Antone Treutel, Parasect, dolphin
Alethia Bahringer, Pidgey, goose
Lauren Homenick, Jolteon, raven
Moses Green, Growlithe, whale
Catherin Stamm, Doduo, mammoth
Tifany Legros, Kabuto, beetle
Buford Spinka, Geodude, koala
Zachery Keebler DDS, Magnemite, snake
Mary Upton, Zapdos, walrus
Georgette Jenkins, Clefable, alpaca
Jared Fritsch, Hypno, mammoth
Darren Durgan, Nidoqueen, deer
Arlie Kuhlman PhD, Sandshrew, goose
Felicitas Swaniawski, Arcanine, platypus
Mitzie Weber PhD, Venomoth, camel
Nancey Connelly, Clefairy, squirrel
Maryann Russel, Weedle, hound
Vertie Walter I, Kadabra, weasel
Verdie Heller, Sandshrew, tiger
Manda Pouros MD, Farfetch'd, lion
Ramonita Abbott, Koffing, rat
Dorsey Crona, Kabuto, crab
Deshawn Christiansen, Venonat, pig
Shae Fisher DVM, Fearow, cheetah
Trenton Bednar MD, Zubat, ape
Neil Terry, Nidorina, leopard
Guadalupe Lockman, Raichu, fox
Brice Lind II, Golduck, spider
Wilton Skiles, Seaking, cheetah
Tony Kutch, Marowak, crocodile
Beth Ziemann, Magmar, serval
Andre Price, Machamp, caribou
Miss Min Pacocha, Hitmonlee, turtle 
Carline Douglas, Magikarp, sea lion
