Julene Schimmel, Charmeleon, guinea pig
Tamala Smith, Doduo, rat
Ms. Viviana Stamm, Koffing, cat
Colby Bergnaum, Grimer, snake
Hassan Wisoky, Sandslash, impala
Maire Ruecker DDS, Marowak, wombat
Markita Pacocha, Nidorina, muskrat
Catarina Cremin, Articuno, walrus
Aron Willms, Vulpix, wolf
Ima Leuschke, Snorlax, dog
Dr. Ferne Watsica, Voltorb, rabbit
Bobby Hilpert, Clefable, fly
Cheri Conroy, Gloom, walrus
Perla Purdy, Diglett, locust
Jesus Labadie, Venusaur, jackal
Jefferson Schmitt, Horsea, baboon
Mrs. Melita Hansen, Hypno, camel
Hiram Green, Machop, salmon
Oda Fahey, Electrode, fly
Bo Bartoletti, Abra, mule
Danita Rodriguez, Poliwhirl, porcupine
Michael Abernathy, Oddish, scorpion
Arleen Ullrich, Dragonair, bear
Ailene Marquardt MD, Paras, frog
Mr. Leopoldo Schaefer, Eevee, goat
Kip Koch, Raichu, armadillo
Jodie Wilderman, Articuno, walrus
Dr. Isabella Dooley, Drowzee, wombat
Susy Will Sr., Venusaur, fly
Rex Homenick, Golduck, worm
Mr. Racquel Runte, Pidgey, bat
Hunter Gleason, Metapod, gerbil
Clyde Bernhard II, Shellder, spider
Elmer Schuster, Kabutops, caribou
Nicolas Wolff, Golbat, seal
Charlie Murphy DDS, Alakazam, cheetah
Jesse Zemlak, Charmander, squirrel
Randall Crist, Grimer, armadillo
Otto Hoeger, Mr. Mime, beetle
Quinton Rosenbaum, Omanyte, crocodile
Garrett Miller, Magneton, tiger
Alysha Pacocha IV, Blastoise, hound
Mr. Hank Legros, Pikachu, rhinoceros
Riley Weimann, Snorlax, rabbit
Mr. Shanelle Herman, Clefairy, lizard
Carrol Runte, Raichu, hornet
Breana Terry, Golduck, armadillo
Natacha White, Rhyhorn, fly
Miss Jolanda Kohler, Farfetch'd, oyster
Mackenzie Muller Sr., Charizard, salmon
