Leslie Yundt PhD, Fearow, wallaby
Esperanza Smitham, Marowak, wolf
Dr. Darin Hettinger, Kadabra, alligator
Milton Walter, Magnemite, ape
Sanford Tremblay, Growlithe, armadillo
Judson Yost, Venomoth, impala
Devon Hettinger, Slowpoke, hare
Ms. Loura Stokes, Gyarados, mink
Lucien Franecki, Charizard, bat
Levi Grady, Geodude, woodchuck
Nobuko Franecki, Exeggutor, gnat
Mirta Robel, Parasect, termite
Lavera Lakin, Lickitung, serval
Dr. Elden Kautzer, Haunter, sea lion
Augustus Strosin, Gengar, wallaby
Jackeline Raynor II, Jolteon, scorpion
Gerard Hirthe, Alakazam, porpoise
Bonita Kautzer, Tauros, wallaby
Myrtis Predovic, Sandshrew, koala
Zina Lemke, Lapras, gorilla
Shanae Christiansen, Squirtle, serval
Terrell Yundt, Aerodactyl, goldfish
Wen MacGyver DVM, Mew, antelope
Hannah Stoltenberg, Onix, porcupine
Carol Kozey, Moltres, beaver
Mrs. Kristel Grady, Lapras, toad
Maurine McDermott, Gastly, horse
Jamison Cremin, Clefairy, platypus
Rickie Bergstrom DDS, Slowpoke, toad
Ashlie Abshire, Kadabra, toad
Bryce Powlowski, Vileplume, wildebeest
Berry Vandervort DDS, Golbat, pig
Michal Kemmer, Raticate, fish
Ms. Minta Windler, Poliwhirl, mouse
Coletta O'Connell, Diglett, locust
Cary Sanford, Mew, seal
Tameika Ward, Zapdos, oyster
Cherri VonRueden, Nidoran, cod
Tory McKenzie, Dodrio, rat
Dr. Sean Volkman, Koffing, wildebeest
Ms. Vena Rempel, Mr. Mime, impala
Genia Lynch Sr., Rhyhorn, mink
Dr. Lowell McDermott, Primeape, caribou
Adena Cassin, Voltorb, skunk
Marion Emard, Rattata, armadillo
Dr. Kendall Klein, Rapidash, porpoise
Dr. Takisha Emard, Magneton, ferret
Mitchell Cartwright, Drowzee, eagle
Vashti Corwin, Golem, mallard
Richard O'Conner, Machoke, kangaroo
