Miss Emory Buckridge, Exeggutor, deer
Mr. Forest Marquardt, Articuno, goat
Vincenzo Bednar, Growlithe, lion
Sung Mante, Farfetch'd, cod
Arnette Kemmer PhD, Farfetch'd, caribou
Alaine Effertz III, Nidoran, mouse
Glady Lowe, Gyarados, hamster
Elden Ritchie, Articuno, tortoise
Miss Julius Kovacek, Electrode, armadillo
Elia Sauer, Gloom, mole
Maris Feeney, Fearow, scorpion
Sherrie Kulas, Moltres, serval
Ms. Darren Gerlach, Parasect, lizard
Ms. Sherman Windler, Growlithe, lizard
Wm Morar, Weedle, bat
Reggie Hoeger IV, Eevee, alpaca
Theron Toy, Tentacruel, termite
Mr. Andres Murazik, Dugtrio, camel
Latina Miller, Kabutops, leopard
Rey Barrows, Poliwrath, chimpanzee
Kimberlee Emmerich, Clefable, cod
Mrs. Solomon Jerde, Caterpie, gorilla
Josue Dickens, Rhyhorn, mallard
Jacinto Kshlerin, Mr. Mime, weasel
Vinnie Zemlak, Seaking, cheetah
Micki Trantow, Ninetales, porpoise
Mrs. Ginny Lind, Arcanine, crow
Rosanne Kutch, Weedle, horse
Forrest Huels, Caterpie, snail
Brain Thompson PhD, Hitmonchan, chinchilla
Alva Considine II, Tauros, wolf
Mrs. Wanda Bartell, Zapdos, louse
Jannet Jaskolski, Gyarados, llama
Kathyrn Lebsack DVM, Kabuto, clam
Neida VonRueden, Arbok, fox
Karl Yundt, Venusaur, mosquito
Carry Oberbrunner, Hypno, ox
Eugenia Botsford, Hypno, cheetah
Mohammed Prosacco, Chansey, clam
Dorsey Purdy II, Magnemite, manatee
Darron Price I, Shellder, termite
Ms. Retta Waelchi, Growlithe, mouse
Edmundo Kilback, Hitmonchan, salmon
Mrs. Arnold Ward, Articuno, bat
Milton Padberg, Chansey, trout
Ms. Yulanda Reilly, Nidoking, cricket
Cassi Bailey, Cubone, bear
Ms. Hobert Buckridge, Ninetales, tiger
Corey Douglas PhD, Rapidash, eel
Lasandra Luettgen, Doduo, yellowjacket
