Roland Halvorson, Jolteon, locust
Dr. Erick Weber, Poliwhirl, dinosaur
George Murray, Butterfree, fox
Dr. Isiah Hudson, Rapidash, crow
Antoinette Lakin, Cubone, grasshopper
Adan Schmidt, Ninetales, rhinoceros
Mrs. Freeman Shields, Dewgong, impala
Ciara Cassin Jr., Drowzee, frog
Delsie Erdman, Flareon, eagle
Dr. Monroe Kub, Rhyhorn, squirrel
Raymond Jerde PhD, Chansey, squirrel
Marianela Quigley, Wigglytuff, fly
Heriberto Schroeder PhD, Gyarados, mouse
Donetta Kozey, Dodrio, ferret
Ching Parker, Mew, wallaby
Ms. Paris Hayes, Dratini, oyster
Willy Schinner, Raticate, weasel
Ms. Sonia Heathcote, Pidgey, wasp
Lindsay Hane, Raticate, ferret
Kurt Hickle, Articuno, rat
Mr. Porter Gorczany, Charmeleon, mule
Tabatha Raynor, Hypno, chimpanzee
Catherine King, Haunter, wolf
Antoinette Dooley III, Electrode, gnu
Danilo Watsica, Parasect, porpoise
Fredrick Kshlerin, Ninetales, caribou
Len Pollich, Dragonite, whale
Dante Lubowitz III, Scyther, squirrel
Noel Terry V, Machop, hippopotamus
Myrtis Skiles, Nidoking, salmon
Danial Smith, Gengar, horse
Lupe Hand, Nidorino, manatee
Adalberto Trantow, Farfetch'd, chinchilla
Geoffrey Brown, Goldeen, koala
Sheree Hamill, Moltres, alpaca
Mrs. Neil Douglas, Psyduck, cricket
Dr. Kieth Beer, Gengar, ant
Wally Grant, Blastoise, frog
Tierra Hodkiewicz, Poliwag, gerbil
Esmeralda Bauch, Rapidash, rabbit
Jocelyn Sauer, Vaporeon, serval
Sally Rutherford, Butterfree, goose
Enrique Schaefer, Pidgey, jellyfish
Aileen Huel, Wigglytuff, turtle 
Concepcion Lubowitz, Nidoran, cicada
Marcy Jenkins, Goldeen, locust
Coral Labadie IV, Dragonair, turtle 
Jacques Sawayn MD, Raticate, scorpion
Albina Hand, Vaporeon, crab
Elida Pagac, Vulpix, hamster
