Von Maggio, Bulbasaur, giraffe
Lou Roob, Ivysaur, scorpion
Del Champlin Jr., Pidgey, antelope
Lucio Welch, Clefable, yellowjacket
Karina Emmerich, Weepinbell, hound
George Schneider, Seaking, donkey
Elisha Ondricka, Hitmonchan, wombat
Rory Reichel, Golduck, spider
Carl Rempel, Pinsir, yellowjacket
Darwin Jacobi, Machamp, camel
Tommie Smith III, Mew, ox
Millicent Powlowski, Geodude, yellowjacket
Sheron Morissette, Magmar, clam
Vi Ernser, Magmar, porcupine
Mrs. Xochitl Kassulke, Zapdos, raven
Dexter Jast, Parasect, deer
Mr. Melvin Auer, Spearow, seal
Isaias Wolff, Venonat, pig
Miss Shirl Kassulke, Weezing, macaw
Olinda Carroll III, Sandslash, fly
Rachele Hessel IV, Eevee, minnow
Lila Brekke Jr., Caterpie, zebra
Eldon Crooks, Raichu, giraffe
Shanon Carter, Squirtle, raccoon
Mr. Scottie Ziemann, Zapdos, butterfly
Dr. Tamar Cormier, Cubone, oyster
Danyel Rippin, Psyduck, hound
Vanesa Deckow, Dratini, lion
Marine Mosciski I, Lickitung, worm
Trey Schaden DDS, Squirtle, hedgehog
Ernestine Keeling, Haunter, horse
Clifton Schuster, Beedrill, grasshopper
Reginald Medhurst, Tentacruel, woodchuck
Mr. Cody Renner, Dragonair, porpoise
Hoyt Crist, Parasect, water buffalo
Mrs. Joan Hirthe, Gastly, minnow
Araceli Larkin, Tentacool, giraffe
Nigel Hills, Beedrill, wombat
Pandora Franecki, Beedrill, pug
Felisa Purdy, Jolteon, cricket
Eugenio Harber, Abra, cat
Mrs. Jamal Kuhn, Wartortle, mallard
Gloria Runte IV, Raichu, coyote
Frida Swaniawski, Nidoran, butterfly
Earlie Flatley I, Dragonair, goldfish
Clinton MacGyver, Alakazam, buffalo
Rey Leannon, Metapod, tiger
Silvia Stehr, Magmar, gnat
Kyle McDermott, Weezing, bat
Heath Gusikowski, Golbat, oyster
