Kiera Powlowski, Kabuto, mallard
Carmela Daniel, Mankey, kangaroo
Ms. Jefferey Torp, Flareon, mule
Sharen Yost, Seaking, cockroach
Agnes Schulist, Mew, mink
Gricelda Kertzmann, Dugtrio, water buffalo
Dr. Kurtis Hermann, Krabby, cicada
Dr. Rhonda Kihn, Tangela, caribou
Carmen O'Connell, Machamp, wallaby
Sina Monahan, Dragonite, mammoth
Marquis Funk, Sandslash, elk
Dr. Coretta Hansen, Vaporeon, mosquito
Mrs. Sook Block, Charizard, shark
Edwin Auer, Charizard, crab
Federico Rohan, Goldeen, shark
Kendra Gutmann, Moltres, prairie dog
Lacy Prohaska, Meowth, sea lion
Marcel Schumm DDS, Tentacool, mink
Taryn Goodwin, Gyarados, alligator
Jay Zboncak Sr., Seadra, pig
Jeffry Orn, Zubat, elephant
Jae Schultz, Omastar, prairie dog
Margeret Klocko Jr., Magneton, butterfly
Mabel Dare, Snorlax, gnu
Pete Ziemann, Ponyta, marten
Woodrow Marquardt DDS, Poliwhirl, rhinoceros
Miss Vance Labadie, Ekans, beetle
Wilford Batz, Rattata, rabbit
Lavonne Kerluke, Machop, porcupine
Josiah Armstrong Jr., Dragonite, hamster
Elden Gorczany, Kakuna, cod
Dr. Jeannette Stehr, Golduck, sea lion
Mr. Natasha Bernhard, Parasect, fox
Sacha White, Sandshrew, rat
Dr. Delbert Kiehn, Jynx, shark
Lakeesha Welch IV, Krabby, walrus
Mr. Verona Ritchie, Porygon, hippopotamus
Mr. Marhta Schiller, Venonat, baboon
Ivey O'Conner Sr., Nidoqueen, wolf
Danilo Dare II, Poliwrath, salmon
Malia Marvin, Nidoqueen, antelope
Rochelle Carter, Venusaur, porpoise
Ms. Larry Rogahn, Tauros, walrus
Earlean Zulauf, Grimer, cattle
Kent Nikolaus, Krabby, squirrel
Janelle Frami, Haunter, llama
Hattie Howe MD, Metapod, louse
Gerry Homenick, Articuno, serval
Tracey Koelpin, Haunter, whale
Melanie Daugherty, Moltres, otter
