Cassondra Rowe V, Bulbasaur, hyena
Ronnie Sawayn, Psyduck, wildebeest
Diego Kshlerin, Electabuzz, scorpion
Dr. Marco Hamill, Nidorina, sheep
Raymon Harber, Golbat, minnow
Columbus Keebler, Caterpie, prairie dog
Mona O'Keefe, Seadra, raccoon
Georgann Crist, Vaporeon, camel
Marisa Kunze, Slowbro, goat
Shakia Kertzmann, Slowpoke, hornet
Deana Kunde, Arbok, hamster
Ms. Aurelio Runte, Weedle, chimpanzee
Joshua Kutch Jr., Mankey, crab
Ms. Abdul Marquardt, Drowzee, bear
Daryl Kunde MD, Caterpie, buffalo
Kay Waelchi III, Porygon, reindeer
Kisha Nienow, Slowpoke, alligator
Mrs. Misti Aufderhar, Porygon, mammoth
Gayle Will, Grimer, salmon
Susy McLaughlin, Ivysaur, impala
Carlos Kemmer IV, Exeggcute, serval
Carrie Gibson, Snorlax, dinosaur
Chantal Murphy, Drowzee, frog
Norene Cummings, Onix, panda
Dr. Melaine McKenzie, Doduo, sheep
Margene Murray, Arcanine, sea lion
Tabatha Pouros, Doduo, raccoon
Brooks West IV, Raticate, gerbil
Hortense Hyatt II, Gyarados, oyster
Nathaniel Keeling, Meowth, cheetah
Ernestina Hettinger, Charmander, hound
Brice Konopelski, Flareon, crocodile
Alexandria Ernser, Electrode, crow
Louisa Jacobi IV, Dewgong, baboon
Cordell Cremin, Graveler, cod
Nida Haley, Rhydon, wasp
Shavonda Harber IV, Gloom, yellowjacket
Maire Zemlak, Snorlax, coyote
Tyree Pfannerstill, Voltorb, deer
Maritza Bahringer, Tangela, jackal
Mr. Edward Barrows, Nidorina, horse
Gerda Bernier IV, Nidorino, seal
Moises Towne, Wartortle, wolf
Hyacinth Koss, Zapdos, camel
Elmo Wunsch, Pinsir, armadillo
Emilee Little, Mew, cicada
Robyn Jenkins MD, Mankey, squirrel
Johnson Schowalter, Nidorina, mammoth
Trula McGlynn, Staryu, bat
Milissa Emmerich, Golbat, clam
