Toby Purdy, Pidgey, mouse
Tera Robel, Porygon, butterfly
Darrell Stroman, Charizard, cheetah
Luna Dare, Vulpix, chimpanzee
Claud Schmeler, Dugtrio, ferret
Shaniqua Gorczany, Sandslash, cicada
Giovanna Bosco, Charmeleon, raccoon
Mrs. Rosa Waters, Dugtrio, giraffe
Billy Swift Jr., Sandshrew, camel
Amina Mante, Dragonair, yellowjacket
Samuel Emmerich, Arcanine, manatee
William Hilll, Vileplume, crow
Irwin Hermiston, Seadra, swan
Margareta Runolfsdottir, Farfetch'd, yellowjacket
Ivette Ruecker, Charizard, mule
Breanne Cronin V, Ponyta, sea lion
Shon Rogahn, Beedrill, badger
Tai Willms, Kadabra, seal
Ms. Brigid Runolfsson, Ponyta, fish
Eldridge Bauch, Pidgeotto, gerbil
Miss Raymond Heidenreich, Koffing, herring
Bonita Grant, Mewtwo, spider
Benjamin Yundt II, Bellsprout, squirrel
Kyung Upton, Exeggutor, crab
Dominique Bayer, Starmie, reindeer
Grady Balistreri, Primeape, shark
Mr. Dawn Fadel, Jynx, mosquito
Alvera Kunde IV, Horsea, oyster
Vanessa Auer, Ivysaur, marten
Emory McGlynn, Cubone, gnu
June Kerluke, Dragonite, minnow
Jessie Hilll Sr., Growlithe, toad
Kala Rohan II, Clefable, wombat
Lynne Ruecker, Muk, badger
Miss Virgil Romaguera, Chansey, guinea pig
Aaron Ernser PhD, Kakuna, koala
Sidney Wilderman, Ditto, gnu
Delcie Hessel, Kingler, gerbil
Iona Kilback, Gyarados, cockroach
Fritz Ledner DDS, Vileplume, bee
Bert Gottlieb, Dragonair, armadillo
Cody West, Ivysaur, locust
Scotty Reichert, Haunter, guinea pig
Sook Christiansen, Machop, alpaca
Jonelle Mosciski V, Vaporeon, wolf
Mr. Helene Kilback, Venusaur, gerbil
Luanna Wilkinson, Mewtwo, ape
Mr. Lorenzo Steuber, Starmie, gerbil
Deon Kertzmann, Dewgong, cicada
Dr. Brandon Jones, Growlithe, yellowjacket
