Shizue Quitzon III, Vileplume, gorilla
Jerri Hintz, Shellder, manatee
Mrs. Tracie Stamm, Arbok, ferret
Regenia Schmeler, Farfetch'd, bear
Shan Cremin, Drowzee, dog
Ms. Antone Rosenbaum, Seel, fox
Dan McClure Jr., Eevee, mole
Mila Hyatt, Charizard, moose
Dr. Gaye Herman, Voltorb, alpaca
Sarita Keeling, Electrode, wasp
Kylee Johns, Metapod, termite
Pam Erdman, Arcanine, ferret
Lewis Paucek, Seel, alligator
Sheilah Keeling, Grimer, cat
Kari Stroman, Venonat, cricket
Merrill Quigley IV, Jynx, minnow
Molly Schmitt, Squirtle, trout
Minh Zemlak, Charmeleon, jackal
Amado Vandervort IV, Electabuzz, fox
Solomon Bergstrom, Weepinbell, chimpanzee
Robin Purdy I, Nidoking, minnow
Andy Dooley, Golem, baboon
Mrs. Thea D'Amore, Dodrio, deer
Sidney Hackett, Metapod, ferret
Omer Towne, Dugtrio, sea lion
Everett Tillman, Bellsprout, sea lion
Charlena Gottlieb, Dratini, cat
Jan Legros MD, Oddish, baboon
Walter Buckridge, Chansey, dolphin
Leonore Brekke, Vileplume, serval
Marylin Renner, Ivysaur, mink
Rhiannon Daugherty, Farfetch'd, donkey
Saul Boehm, Poliwhirl, dog
Felton Wehner, Abra, mosquito
Valentin Hickle, Weepinbell, bear
Edmund Herman, Kangaskhan, kangaroo
Kris Stiedemann, Starmie, impala
Michell Jerde, Growlithe, dinosaur
Nelida Sauer, Sandshrew, hyena
Emilio Considine, Machop, hippopotamus
Deon Spinka III, Charmander, serval
Antone Larson, Ninetales, lizard
Luis Christiansen IV, Eevee, manatee
Miss Angla Jacobi, Venomoth, alpaca
Thanh Monahan, Tentacool, sardine
Arie Mertz, Poliwrath, turtle 
Vanessa Hodkiewicz, Arcanine, prairie dog
Bernardo Schuster, Pikachu, walrus
Winfred Collier, Rhydon, gnu
Xenia Wiza, Pinsir, platypus
