Robby Parisian, Magikarp, badger
Joseph Becker, Jolteon, frog
Miss Rene Walker, Cubone, badger
Sharlene Marquardt, Electrode, gorilla
Belia Quitzon, Jigglypuff, badger
Shelton Rolfson, Aerodactyl, ape
Leonard Koss IV, Fearow, cattle
Barb Jacobi, Graveler, hamster
Allegra Paucek, Caterpie, mammoth
Weston D'Amore PhD, Dragonair, crow
Geneva Erdman, Ivysaur, porcupine
Russell Moore, Drowzee, goldfish
Zack Okuneva PhD, Gengar, lion
Mr. Evan Ullrich, Lickitung, monkey
Mrs. Berry Considine, Meowth, toad
Laquita Koepp, Electabuzz, ox
Leigh Vandervort, Metapod, muskrat
Brigette Bahringer, Zubat, hyena
Karol Collier, Grimer, marten
Refugio Hansen, Rhydon, hound
Lupe Lakin, Chansey, cat
Carmelia Mueller, Wigglytuff, platypus
Loriann Stanton III, Caterpie, gnu
Jaime Goodwin, Weezing, mule
Arthur Hand, Magmar, serval
Clifford Glover, Pidgey, cicada
Concha Huel V, Bellsprout, eel
Sonja Morar DVM, Slowbro, wallaby
Dr. Eloy Braun, Tangela, bee
Dr. Myrta Batz, Shellder, shark
Ceola Weimann PhD, Vaporeon, hippopotamus
Kurt Senger, Primeape, termite
Karina Trantow, Clefable, rabbit
Shalon Collins, Dratini, cattle
Lita Rohan, Primeape, kangaroo
Takisha Walsh, Machamp, badger
Rosamond Kertzmann, Omanyte, rat
Spencer Ebert, Raticate, clam
Jackson Ziemann, Flareon, alligator
Joesph Buckridge, Machop, coyote
Brent Adams Jr., Seadra, shark
Harlan Marquardt V, Arbok, snake
Cedric Carroll, Staryu, bee
Amiee Kuhlman MD, Arcanine, monkey
Rubi Shields, Zubat, dinosaur
Miss Taneka Botsford, Charmeleon, caribou
Evelynn Koepp DVM, Dewgong, hare
Jaime Lueilwitz, Kakuna, baboon
Tammara Crona, Gastly, cicada
Buddy Feil, Lickitung, marten
