Ms. Edwin Jerde, Meowth, louse
Tatum Toy, Lickitung, serval
Ms. Carmine Brekke, Kadabra, baboon
Hermina Runte, Tentacool, impala
Mr. Dannie Wyman, Lapras, kangaroo
Elfriede Witting, Flareon, prairie dog
Dr. Veronika Nader, Dragonite, wolf
Ms. Cortney Beatty, Nidoking, trout
Bryanna Davis, Pikachu, woodchuck
Refugio Koss II, Kakuna, rat
Lizzette Osinski, Weedle, sardine
Palma Williamson, Horsea, eagle
Mika Kutch, Butterfree, manatee
Terrell Schinner, Magneton, woodchuck
Dr. Leola Wisoky, Arcanine, walrus
Ena Price, Kabuto, crab
Mr. Daniell Turner, Dewgong, chimpanzee
Dominique Sawayn, Seaking, gerbil
Charlyn Prosacco, Clefairy, wildebeest
Son Boyer, Tangela, deer
Niesha Trantow III, Omastar, pig
Marlana Pouros, Dugtrio, worm
Lonnie Shields, Zubat, weasel
Ezequiel Mayert, Onix, wolf
Earlean Torphy, Bellsprout, coyote
Chang Kuphal, Golduck, guinea pig
Russell Kutch I, Zapdos, fish
Eleanor Zulauf, Shellder, guinea pig
Mellie Towne DDS, Horsea, walrus
Ross Rutherford, Kakuna, cheetah
Delinda Schultz DDS, Voltorb, turtle 
Wesley Gaylord PhD, Arbok, gerbil
Blythe Daniel Sr., Snorlax, wombat
Rowena Lowe, Machop, porcupine
Lupe Spinka, Weepinbell, rhinoceros
Mrs. Willis Gibson, Magmar, cockroach
Cassie Padberg Jr., Magneton, dinosaur
Naida Hauck, Omanyte, water buffalo
Mr. Kurt Berge, Nidorina, coyote
Mrs. Alyse Nikolaus, Dragonite, porpoise
Mrs. Sammie Kertzmann, Raichu, alpaca
Suzan Ziemann, Krabby, goose
Mrs. Micheal Becker, Jigglypuff, antelope
Ms. Liana Kovacek, Marowak, mink
Ms. Jody Johns, Horsea, locust
Otilia Murazik, Starmie, muskrat
Lacy Rohan, Lapras, oyster
Von Grady, Krabby, dolphin
Claude Mohr, Raticate, spider
Mr. Cecelia Hilll, Pidgeot, hamster
