Delana Cormier, Machop, giraffe
Marcelene Crooks, Weezing, serval
Patricia Stanton, Dugtrio, cod
Numbers Luettgen, Ekans, bee
Grady Thompson III, Clefairy, goose
Dannie Corkery, Ninetales, fox
Ernestina Grant, Clefable, beaver
Antonietta Fay, Sandshrew, ferret
Karma Robel, Pidgeot, alligator
Margie Ullrich, Ninetales, pug
Annmarie Lind, Vileplume, goose
Ward Harber, Goldeen, squirrel
Len Deckow PhD, Poliwrath, raccoon
Waltraud Jaskolski Jr., Seel, deer
Hugh Jacobson MD, Parasect, gorilla
Jeremy Goyette, Nidorina, gerbil
Mrs. Jeromy O'Reilly, Sandslash, mule
Dorie Jenkins, Zapdos, bee
Zandra Baumbach PhD, Hitmonlee, sea lion
Renato Predovic IV, Nidorina, manatee
Mr. Irvin Daniel, Rhyhorn, bat
Mervin Barton, Mew, turtle 
Ms. Sergio Hackett, Rattata, toad
Ione Nikolaus, Machamp, skunk
Danyel Roberts V, Dewgong, raccoon
Donald Kshlerin DVM, Flareon, armadillo
Chang Simonis, Butterfree, chimpanzee
Verla Schoen, Tentacruel, zebra
Bryant Howe, Chansey, tortoise
Jewell Yost, Staryu, frog
Jesse Nikolaus, Spearow, duck
Hilde Hoppe, Porygon, gerbil
Jeramy Raynor Sr., Hitmonlee, woodchuck
Janae McLaughlin, Zapdos, dinosaur
Joie Donnelly, Poliwrath, yellowjacket
Antonette Fahey, Raichu, gerbil
Miss Ron Russel, Marowak, snake
Stacia O'Hara, Exeggutor, duck
Foster Heathcote, Dodrio, wallaby
Dr. Tamela Wyman, Onix, hedgehog
Miss Alphonso Lemke, Golbat, antelope
Dr. Arlean Adams, Marowak, rabbit
Gerardo Terry, Dragonite, toad
Miss Lorna Dickens, Machop, dolphin
Dr. Ambrose Murazik, Poliwhirl, gorilla
Ebony Tremblay, Graveler, skunk
Norman Schneider, Electrode, guinea pig
Aaron Towne III, Onix, ox
Essie Lakin, Cubone, tortoise
Pei Tillman, Gengar, hedgehog
