Cinda Franecki, Sandshrew, frog
Abdul Schinner, Kangaskhan, guinea pig
Mr. Clemente O'Kon, Slowpoke, minnow
Mrs. Earnest Bernhard, Dodrio, buffalo
Miss Bryant Emmerich, Pidgeotto, hyena
Tracey Auer, Seel, rhinoceros
Amy Simonis, Gyarados, marten
Joaquin Corkery, Ninetales, toad
Mrs. Vonda Graham, Machoke, mink
Miss Madaline Hand, Primeape, skunk
Arla Beer, Kakuna, horse
Salome Shanahan, Graveler, hornet
Tamiko Runolfsson, Nidorina, platypus
Alonzo Goodwin, Jynx, spider
Mr. Bryon Osinski, Electrode, monkey
Margarett Baumbach, Mew, koala
Lashon Rogahn, Dugtrio, dinosaur
Dr. Francisco Larkin, Victreebel, badger
Jeanene O'Connell DVM, Charizard, hamster
Juliet Becker, Mewtwo, rat
Beryl Quitzon, Lapras, cheetah
Lise Fritsch, Pidgeotto, minnow
Salvador Gutkowski, Tauros, hippopotamus
Gia Ernser, Snorlax, zebra
Kent Bashirian, Wigglytuff, wallaby
Dinah Davis, Vaporeon, cat
Ms. Yevette Hamill, Lapras, fish
Mrs. Cristy Oberbrunner, Jolteon, serval
Miss Miguelina Howell, Jigglypuff, dolphin
Kerrie Hoeger, Golem, marten
Del Waelchi, Victreebel, mammoth
Buster Greenholt, Kabutops, buffalo
Julius Kozey, Lapras, donkey
Len Wuckert, Dratini, llama
Jeromy Larkin, Zubat, alligator
Mrs. Hui Heaney, Sandslash, antelope
Hedwig DuBuque, Dodrio, minnow
Brittanie Haley, Nidorino, snake
Faviola VonRueden, Venusaur, gnat
Devin Botsford, Paras, camel
Antony Flatley, Jynx, duck
Migdalia Dickens, Chansey, crow
Philip Frami, Gengar, snail
Stacey Hahn II, Caterpie, duck
Young Fay, Weezing, bear
Christian Reinger, Koffing, serval
Winston Kutch, Rhydon, cockroach
Marguerita Bashirian, Magikarp, camel
Mr. Rupert Fritsch, Venomoth, toad
Luna Paucek, Psyduck, fish
