Taryn Carroll, Ditto, porpoise
Carlton Hodkiewicz, Poliwrath, hornet
Reid Wyman, Dugtrio, wasp
Ms. James Pfeffer, Zapdos, serval
Debrah Howe, Tauros, serval
Isiah Stroman IV, Ivysaur, dinosaur
Leisa Daniel PhD, Kangaskhan, jackal
Kallie Weimann II, Poliwhirl, bat
Cheryle Bartoletti, Clefairy, whale
Monte Wilkinson, Jynx, yak
Ms. Devora Stracke, Onix, tortoise
Dr. Houston Glover, Victreebel, worm
Hal Oberbrunner, Metapod, raven
Miss Pauletta Bogisich, Nidorina, grasshopper
Clair Pfeffer, Cloyster, rhinoceros
Sol Bernhard PhD, Weedle, monkey
Tonita Wolf, Rhydon, goldfish
Olen Osinski, Geodude, snake
Rafael White, Tentacool, beaver
Patrick Moen, Rhydon, duck
Seema Goodwin, Beedrill, mallard
Vanda Renner, Gyarados, bat
Dr. Frank Farrell, Starmie, pig
Margert Crona PhD, Dewgong, mouse
Lidia Daugherty, Rhyhorn, crab
Alfred Littel, Persian, mule
Mozelle Sauer, Machoke, worm
Wilfred Dickinson Jr., Ivysaur, otter
Sylvester Mayert DVM, Koffing, kangaroo
Sergio Lesch, Staryu, tiger
Mr. Logan O'Connell, Growlithe, trout
Shawna Hodkiewicz, Horsea, rhinoceros
Mario Gleichner, Kabuto, mink
Britt Ratke, Eevee, beetle
Rocky Crona, Psyduck, cat
Tandy Bode, Ivysaur, manatee
Dewitt Stracke, Primeape, mouse
Angla King MD, Zapdos, wolf
Shirl Hessel, Machoke, frog
Cary Reynolds, Seadra, water buffalo
Garret Brekke, Alakazam, rabbit
Chun Oberbrunner, Metapod, pig
Claudie Kuvalis, Chansey, minnow
Valeria O'Reilly PhD, Machop, crocodile
Rhett Quigley, Vileplume, ape
Betsy Haag Sr., Koffing, spider
Daniel Bechtelar, Nidoqueen, elephant
Assunta Flatley, Golem, gnu
Jarod Shields I, Mew, clam
Zachary Boehm, Jolteon, panda
