Allyn O'Conner V, Cloyster, dog
Letty Hartmann, Flareon, termite
Arlie Braun, Kakuna, zebra
Dr. Keith Yost, Graveler, gnu
Ngoc Brekke, Electrode, kangaroo
Kati Stamm, Hitmonlee, chinchilla
Miss Solange Walter, Chansey, mouse
Mirtha Graham, Caterpie, woodchuck
Miss Morris Cronin, Nidoking, worm
Marya Stokes, Pidgeot, walrus
Frederick O'Reilly, Dewgong, minnow
Alejandro Bahringer, Poliwhirl, sheep
Dr. Miles Upton, Gyarados, cat
Theodore Medhurst, Koffing, mole
Jermaine Goyette, Kabutops, mosquito
Benjamin Glover, Magikarp, ant
Phillip Cremin, Tentacruel, dolphin
Francis Gorczany, Nidorino, shark
Rossana Donnelly Sr., Articuno, beetle
Raylene Kilback, Starmie, squirrel
Lacresha Murray, Charmeleon, mammoth
Mrs. Yong Considine, Kabutops, cockroach
Tommie Wilkinson, Nidoqueen, jackal
Winfred Steuber, Arbok, lion
Terence Lakin, Electrode, buffalo
Dr. Leona Mante, Kingler, tiger
Alton Stiedemann, Flareon, hedgehog
Kaley Quitzon Sr., Ninetales, seal
Dr. Ima Satterfield, Psyduck, eel
Eugene Ondricka, Staryu, prairie dog
Hiram Bergnaum, Goldeen, mallard
Chin Gutmann, Golbat, fox
Tristan Christiansen, Starmie, eel
Shaun Parisian, Raichu, squirrel
Johnie Heaney, Rhydon, jackal
Mrs. Louann Frami, Machop, dog
Alethia Lynch I, Doduo, worm
Ferne Hartmann II, Dugtrio, fox
Mario Littel, Pinsir, hare
Alden Klocko, Clefable, yellowjacket
Clara Hilpert, Venonat, reindeer
Mr. Kylee Dach, Mewtwo, elephant
Harrison Kerluke, Rhyhorn, oyster
Jonelle Blick, Pikachu, baboon
Christoper Sanford, Vulpix, yak
Rigoberto Kulas, Victreebel, monkey
Brooks Johnston, Graveler, snake
Dennis Gibson, Wigglytuff, moose
Leif Kuphal, Pikachu, wildebeest
Darwin Kub, Flareon, water buffalo
