Earleen Bednar MD, Cloyster, water buffalo
Jack Wuckert, Nidorino, cricket
Toni Schuster, Exeggutor, moose
Gabriel Connelly, Hypno, chinchilla
Erick Marks, Electabuzz, llama
Mrs. Irvin Kulas, Nidoran, manatee
Kristopher Kiehn Jr., Tauros, eagle
Latrina Weber, Weedle, locust
Donetta Kuhn V, Blastoise, ant
Bobbie Denesik, Nidoran, worm
Mrs. Shirlee Hane, Meowth, goat
Herschel Wyman DVM, Rapidash, elephant
Elaina Nienow, Kadabra, rabbit
Jacquetta Leuschke, Spearow, cod
Holley Ritchie, Pidgeotto, reindeer
Miss Gussie Hessel, Seaking, alpaca
Sol Koelpin, Snorlax, herring
Dong Casper, Gyarados, prairie dog
Erica Thompson, Machamp, koala
Felix Howe, Beedrill, moose
Brett Hoeger, Golduck, ox
Charmaine Stark, Sandslash, lizard
Sharee Braun, Mr. Mime, mallard
Bobby Strosin, Ditto, salmon
Jonathon VonRueden, Caterpie, porpoise
Annetta Romaguera, Hitmonchan, sardine
Aubrey Krajcik, Clefable, hippopotamus
Allyn Lang, Cloyster, rabbit
Porsche Lebsack, Goldeen, monkey
Elizbeth Brakus, Kakuna, termite
Mr. Frank Schowalter, Chansey, hyena
Hung Mosciski Jr., Mankey, wombat
Miss Vicky Weimann, Nidoqueen, manatee
Ardis Wilderman, Golbat, snake
Son Kihn, Mew, bear
Ms. Maxwell Von, Nidorino, termite
Portia Greenholt, Paras, goose
Palma Renner, Sandshrew, kangaroo
Mr. Elene Goodwin, Gengar, hare
Mrs. Shelba Ward, Psyduck, cheetah
Manuel Keebler, Tentacool, guinea pig
Alyce Harber, Gengar, cattle
Marco Zulauf, Golbat, hare
Ms. Nigel Bahringer, Hitmonchan, panda
Mark Howe IV, Weedle, gorilla
Rueben Ritchie, Jolteon, whale
John Yost, Mankey, rat
Ms. Orlando Rau, Kadabra, butterfly
Dr. Fermin Wuckert, Primeape, skunk
Buffy Collier, Dugtrio, turtle 
