Temeka Gaylord, Growlithe, caribou
Ms. Renda Hamill, Eevee, minnow
Reginald Nienow, Drowzee, yellowjacket
Harrison Considine Jr., Jolteon, cicada
Shelton Zboncak, Lickitung, sardine
Kristle Bergnaum, Dragonair, louse
Enoch Metz Jr., Omanyte, porpoise
Ayana Schroeder, Clefable, fly
Randal Bode Sr., Dodrio, cod
Dovie Kassulke MD, Dragonair, raccoon
Dr. Antonia Schroeder, Poliwhirl, alligator
Oscar Stoltenberg, Ivysaur, crocodile
Kaci O'Kon, Nidorino, hound
Dr. Casey Dicki, Moltres, chinchilla
Tonya Powlowski, Squirtle, muskrat
Larry Lindgren, Parasect, gorilla
Consuela Torphy, Weepinbell, gnu
Derick O'Reilly, Diglett, platypus
Everette Gleichner, Kadabra, buffalo
Darell Kris, Ivysaur, yellowjacket
Mr. Octavio Paucek, Chansey, impala
Earnest Yundt, Articuno, manatee
Ms. Clement Kuhlman, Pidgeotto, yellowjacket
Gaye Abernathy, Gastly, crab
Moses Pollich, Omastar, yak
Shawnta Kassulke, Poliwag, alligator
Ms. Clifton Schumm, Pikachu, armadillo
Winford Cole, Growlithe, rabbit
Dr. Marta Kiehn, Charizard, walrus
Mrs. Eldridge Thiel, Ditto, walrus
Floyd Will, Magneton, baboon
Karina Hudson, Hitmonlee, toad
Orpha Beier DDS, Kadabra, toad
Thalia Herman IV, Beedrill, rabbit
Brian Mosciski, Dratini, hornet
Sidney Renner, Farfetch'd, toad
Hugh Brown, Doduo, fox
Agustina Simonis, Dragonair, louse
Corey Raynor I, Mewtwo, sardine
Chu Blanda, Mr. Mime, mammoth
Mrs. Yong Lockman, Meowth, mole
Ms. Jeremiah Kirlin, Electrode, ape
Robert Blanda PhD, Machamp, lizard
Rachel Hermann I, Pinsir, termite
Kitty Bashirian, Articuno, goose
Shaunda Greenholt, Machamp, ox
Ollie Runte, Marowak, spider
Dr. Melida Sipes, Magikarp, fish
Ms. Myles Botsford, Meowth, rat
Cherish Feest DVM, Gengar, prairie dog
