Kris Grimes, Electabuzz, tiger
Mr. Lauretta Kihn, Tentacool, beaver
Sol Reichert, Beedrill, toad
Dr. Dewey Harber, Gyarados, dinosaur
Vicky Feest, Goldeen, ferret
Vaughn Langworth, Omastar, platypus
Jonas West, Nidoking, minnow
Thad Simonis, Rapidash, gnat
Brandon Witting, Nidorina, trout
Irving Schaefer, Rattata, cod
Susanne Botsford, Kabuto, cricket
Fermina Walsh, Muk, hare
Derrick Fahey, Gloom, muskrat
Elina Barrows, Zubat, tiger
Miss Darrel Schuppe, Mewtwo, scorpion
Mckinley Hudson IV, Pidgey, guinea pig
Refugio Crist, Magmar, crab
Leila Jacobs, Horsea, yellowjacket
Kathie Batz IV, Nidoking, baboon
Bryant Smitham, Zapdos, pig
Ms. Thomasine Lind, Slowbro, wasp
Armand West MD, Haunter, cockroach
Bobby Goodwin, Mr. Mime, otter
Thanh Schaden, Eevee, hedgehog
Dwain Batz I, Nidoqueen, duck
Jesusa Cole, Bulbasaur, whale
Danille Lockman, Gengar, alpaca
Warner Rosenbaum I, Dewgong, mink
Elina Toy, Exeggcute, giraffe
Dennis Brekke, Vulpix, raccoon
Lana Frami, Dragonair, hound
Ms. Nicholas Koepp, Ponyta, alligator
Titus Fisher, Gastly, baboon
Belva Johnston DVM, Rattata, frog
Hobert Wolf, Drowzee, leopard
Jaqueline Ortiz, Chansey, cod
Dr. Dolores Howell, Kakuna, kangaroo
Avery Jenkins, Weepinbell, moose
Miss Rea Dietrich, Scyther, armadillo
Louie Wuckert, Sandslash, ferret
Stewart Herzog, Vulpix, woodchuck
Florentino Halvorson, Metapod, louse
Lonny Osinski, Cubone, platypus
Lolita Hilll, Bulbasaur, antelope
Mrs. Spencer Kassulke, Omastar, ox
Mrs. Reinaldo Okuneva, Geodude, bee
Monte Hegmann, Geodude, mule
Grant Runolfsson, Hitmonlee, macaw
Cathey Jenkins DVM, Arcanine, minnow
Rodney Gerhold Sr., Snorlax, rabbit
