Troy Ankunding, Nidoqueen, wildebeest
Karena Price, Moltres, raven
Delmar Wolf, Eevee, woodchuck
Chantay Predovic, Primeape, alpaca
Ms. Stewart Bechtelar, Muk, shark
Marin Torp, Spearow, squirrel
Lonnie Stoltenberg PhD, Bellsprout, camel
Raina Von, Jynx, reindeer
Romeo Jacobi, Beedrill, impala
Scottie Johnson PhD, Spearow, donkey
Amee Roberts, Porygon, marten
Carmelina Boyer I, Moltres, baboon
Edwardo Muller, Drowzee, jackal
Hildegard Wilderman, Kadabra, muskrat
Guillermo Halvorson, Rhydon, sheep
Shanika Flatley, Wartortle, walrus
China Satterfield, Oddish, giraffe
Alana Baumbach, Omanyte, guinea pig
Gil Dicki, Wigglytuff, oyster
Garfield Larson, Mankey, trout
Carlo Satterfield, Kabutops, ape
Wan Monahan, Ivysaur, chimpanzee
Dr. Caryl Huels, Drowzee, buffalo
Donald Boehm Jr., Magnemite, woodchuck
Arnoldo Krajcik, Lapras, platypus
Liana Gusikowski, Geodude, hare
Lou Daugherty DVM, Bellsprout, bat
Nicolas Steuber, Machop, spider
Miss Sanjuana Mayert, Muk, worm
Rosendo Kutch, Rhyhorn, snake
Carmine Crona, Vileplume, cattle
Glennie Johnston, Slowpoke, eagle
Forest Hirthe, Pinsir, chinchilla
Mr. Leia Dare, Rapidash, mallard
Leonard Carroll, Slowbro, elk
Errol Rosenbaum, Fearow, serval
Debra Erdman, Gyarados, beetle
Damian Bosco, Venomoth, dinosaur
Leonard Harber, Slowpoke, hound
Dominic Barrows MD, Squirtle, mouse
Violet Hills, Gastly, trout
August McClure, Gastly, dog
Newton Koelpin, Lapras, worm
Kathy Mitchell, Gyarados, bee
Elfriede Boyer, Cubone, gerbil
Lamar Zieme DDS, Diglett, turtle 
Clark Torp, Machop, mallard
Ryan Bode, Raichu, rat
Miss Burt Schiller, Charmander, horse
Babette Kemmer, Beedrill, worm
